Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the SI unit of force?,Newton,Watt,Joule,Ohm
Biology,What is the powerhouse of the cell?,Mitochondria,Ribosome,Nucleus,Endoplasmic reticulum
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Uranus
Geology,What type of rock is formed from cooled lava or magma?,Igneous,Sedimentary,Metamorphic,None of the above
Physics,What is the law of inertia?,An object at rest will remain at rest| and an object in motion will remain in motion with a constant velocity| unless acted upon by a net external force.,For every action| there is an equal and opposite reaction.,The force acting on an object is equal to the mass of the object times its acceleration.,None of the above
Biology,What system is responsible for carrying blood throughout the body?,Circulatory,Respiratory,Digestive,Reproductive
Chemistry,What is the pH of a neutral solution?,7,1,14,0
Astronomy,What is the name of the galaxy that contains our solar system?,Milky Way,Andromeda,Sombrero,Whirlpool
Geology,What type of rock is formed from the accumulation of sediment?,Sedimentary,Igneous,Metamorphic,None of the above
Physics,What is the formula for work?,W = Fd,W = F/a,W = ma,W = P/V
Biology,What is the function of the red blood cells?,Transport oxygen,Produce insulin,Produce bile,Break down lipids
Chemistry,What is the name of the process when a solid turns directly into a gas?,Sublimation,Deposition,Condensation,Melting
Astronomy,What is the name of the closest star to our solar system?,Proxima Centauri,Alpha Centauri,Beta Centauri,Gamma Centauri
Geology,What type of rock is formed from the alteration of existing rock through heat and pressure?,Metamorphic,Igneous,Sedimentary,None of the above
Physics,What is the formula for acceleration?,a = (v2 - v1)/(t2 - t1),a = F/m,a = m/F,a = P/V
Biology,What is the function of the liver?,Breaks down toxins,Produces bile,Stores glucose,All of the above
Chemistry,What is the name of the process when a gas turns directly into a solid?,Deposition,Sublimation,Condensation,Melting
Astronomy,What is the name of the planet with the longest day of any planet in our solar system?,Venus,Mercury,Jupiter,Mars
Geology,What type of rock is formed from the cooling and solidification of lava or magma?,Igneous,Sedimentary,Metamorphic,None of the above
Physics,What is the formula for momentum?,p = mv,p = Fd,p = ma,p = P/V
Biology,What is the function of the kidneys?,Regulate water and salt balance,Filter the blood,Produce hormones,All of the above
Chemistry,What is the process called when a metal reacts with oxygen to form rust?,Oxidation,Reduction,Combustion,Ionization
Astronomy,What is the name of the asteroid belt located between Mars and Jupiter?,The Main Belt,The Kuiper Belt,The Oort Cloud,The Scattered Disk
Geology,What type of rock is formed from the cooling and crystallization of magma below the surface of the Earth?,Intrusive Igneous,Extrusive Igneous,Metamorphic,None of the above
