Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the symbol for gold?,Au,Ag,Cu,Pt
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Lungs
Physics,What does the abbreviation “AM” stand for| as in “AM radio”?,Amplitude Modulation,Audio Modulation,Amplified Microphone,Automatic Micrometer
Geology,What type of rock is formed by the cooling of magma or lava?,Igneous,Sedimentary,Metamorphic,Volcanic
Chemistry,What is the process by which a gas turns into a liquid?,Condensation,Vaporization,Sublimation,Melting
Biology,What is the process by which plants convert carbon dioxide and water into glucose and oxygen?,Photosynthesis,Cellular respiration,Fermentation,Digestion
Physics,What kind of electromagnetic radiation has the shortest wavelength?,Gamma rays,X-rays,Ultraviolet,Infrared
Geology,What type of rock is formed by layers of sediment pressure?,Sedimentary,Igneous,Metamorphic,Granite
Chemistry,What is the chemical equation for water?,H2O,NaCl,O2,CO2
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Lysosome
Physics,What law states that an object in motion will stay in motion| and an object at rest will stay at rest| unless acted upon by an outside force?,Newton’s first law,Law of gravity,Kepler’s laws,Law of thermodynamics
Geology,What type of rock is formed by heat and pressure?,Metamorphic,Sedimentary,Igneous,Basalt
Chemistry,What is the atomic number of carbon?,6,8,10,12
Biology,What type of cell lacks a nucleus and organelles?,Prokaryotic,Eukaryotic,Animal,Plant
Physics,What is the smallest unit of matter that retains the properties of an element?,Atom,Molecule,Neutron,Electron
Geology,What type of rock is formed by the compression and cementation of sediments?,Sedimentary,Igneous,Metamorphic,Granite
Chemistry,What is the chemical formula for carbon dioxide?,CO2,H2O,NaCl,O2
Biology,What is the function of white blood cells?,Protect against infection,Transport oxygen,Digest food,Control the body’s metabolism
Physics,What unit is used to measure energy?,Joule,Watt,Volt,Ampere
Geology,What layer of the Earth consists of solid iron and nickel?,Inner core,Outer core,Mantle,Crust
Chemistry,What is the pH of a neutral substance?,7,1,14,10
Biology,What molecules are the building blocks of proteins?,Amino acids,Nucleotides,Fatty acids,Carbohydrates
Physics,What law states that the amount of energy in a system is constant| and can neither be created nor destroyed| only converted from one form to another?,Law of conservation of energy,Law of gravity,Newton’s second law,Law of thermodynamics
Geology,What type of rock is formed by compacted plant and animal remains?,Coal,Sedimentary,Igneous,Metamorphic
Chemistry,What is the unit used to measure the amount of a substance in chemistry?,Mole,Liter,Gram,Meter
Biology,What is the function of the ribosome?,Protein synthesis,Energy production,DNA replication,Cellular respiration
Physics,What is the name of the fundamental force that attracts objects with mass towards each other?,Gravity,Electromagnetism,Strong nuclear force,Weak nuclear force
Geology,What is the term used to describe the movement of the tectonic plates beneath the Earth’s surface?,Plate tectonics,Volcanism,Erosion,Weathering
Chemistry,What is the chemical formula for water?,H2O,NaCl,O2,CO2
Biology,What organ system is responsible for breaking down food in the body?,Digestive,Circulatory,Respiratory,Endocrine
Physics,What kind of electromagnetic radiation has the longest wavelength?,Radio waves,Microwaves,Infrared,Visible light
Geology,What is the most abundant gas in the Earth’s atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
Chemistry,What is the process by which a solid turns into a gas without going through the liquid phase?,Sublimation,Vaporization,Deposition,Condensation
Biology,What is the process by which animals convert glucose into energy?,Cellular respiration,Photosynthesis,Fermentation,Digestion
Physics,What is the unit used to measure electric current?,Ampere,Joule,Watt,Volt
Geology,What type of volcano is broad and flat| with gently sloping sides?,Shield,Cinder cone,Composite,Caldera
Chemistry,What is the process by which light is absorbed by matter and then released in different directions?,Scattering,Reflection,Refraction,Absorption
Biology,What is the name of the structure that connects bones to other bones?,Ligament,Tendon,Cartilage,Muscle
Physics,What is the name of the force that resists motion between two surfaces in contact?,Friction,Tension,Weight,Gravity
Geology,What type of rock is formed by the cooling and solidification of magma or lava?,Igneous,Sedimentary,Metamorphic,Granite
Chemistry,What does the abbreviation “pH” stand for?,Potential of Hydrogen,Power of Hydrogen,Product of Hydrogen,Pressure of Hydrogen
Biology,What type of cells are responsible for creating and secreting hormones?,Endocrine,Exocrine,Epithelial,Muscle
Physics,What type of energy is stored in an object due to its position or configuration?,Potential energy,Kinetic energy,Thermal energy,Radiant energy
Geology,What type of rock is formed by the alteration of preexisting rocks under high temperature and pressure?,Metamorphic,Igneous,Sedimentary,Granite
Chemistry,What is the chemical formula for glucose?,C6H12O6,NaCl,O2,CO2
Biology,What is the name of the dense region in the nucleus of an atom| consisting of protons and neutrons?,Atomic nucleus,Electron cloud,Electron shell,Periodic table
Physics,What is the unit used to measure resistance in an electrical circuit?,Ohm,Ampere,Joule,Watt
Geology,What is the name of the boundary between the Earth’s crust and mantle?,Mohorovicic discontinuity,Gutenberg discontinuity,Lehmann discontinuity,Repetti discontinuity
