Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the SI unit of force?,Newton,Joule,Watt,Volt
Biology,Which organelle is responsible for making ATP in a cell?,Mitochondria,Golgi Apparatus,Endoplasmic Reticulum,Lysosomes
Chemistry,Which subatomic particle has a positive charge?,Proton,Neutron,Electron,Positron
Geology,Which is the hardest mineral on the Mohs hardness scale?,Diamond,Quartz,Topaz,Corundum
Astronomy,What is the closest planet to the sun?,Mercury,Venus,Mars,Earth
Physics,What is the formula for work done by a force?,Force x Distance,Mass x Acceleration,Energy x Time,Power x Time
Biology,Which part of the eye is responsible for focusing light?,Lens,Cornea,Retina,Optic nerve
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Geology,What type of rock is formed from cooling lava?,Igneous,Sedimentary,Metamorphic,Volcanic
Astronomy,What type of galaxy is the Milky Way?,Spiral,Elliptical,Irregular,Barred Spiral
Physics,What is the formula for kinetic energy?,1/2 mv^2,mgh,F x d,P x V
Biology,Which type of tissue connects muscles to bones?,Tendons,Ligaments,Cartilage,Blood vessels
Chemistry,What is the pH of a neutral solution?,7,1,14,0
Geology,What is the process by which rocks are broken down into smaller pieces?,Weathering,Erosion,Metamorphism,Crystallization
Astronomy,What is the name of the force that holds our solar system together?,Gravity,Magnetism,Electromagnetism,Nuclear force
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transferred,Energy can be created and destroyed,Energy can only be created,Energy can only be destroyed
Biology,Which part of the brain controls voluntary movements?,Cerebellum,Cerebrum,Brainstem,Thalamus
Chemistry,What is the process by which a gas turns into a liquid?,Condensation,Evaporation,Sublimation,Melting
Geology,What is the name of the boundary between two tectonic plates that are moving apart?,Divergent boundary,Convergent boundary,Transform boundary,Fault line
Astronomy,What is the name of the largest moon in our solar system?,Ganymede,Titan,Callisto,Io
Physics,What is the formula for density?,Mass/Volume,Force x Distance,Work/Time,Power/Voltage
Biology,Which organ produces insulin?,Pancreas,Liver,Kidney,Lung
Chemistry,What type of bond is formed when atoms share electrons?,Covalent,Ionic,Hydrogen,Carbon
Geology,What is the name of the scale used to measure the intensity of earthquakes?,Richter scale,Mercalli scale,Moments magnitude scale,Seismic scale
Astronomy,What is the name of the process by which a star stops burning?,Supernova,Black hole,White dwarf,Red giant
Physics,What is the formula for acceleration?,Change in velocity/Time,Force/Mass,Work/Time,Power/Voltage
Biology,Which blood vessel carries blood from the heart to the lungs?,Pulmonary artery,Pulmonary vein,Aorta,Vena cava
Chemistry,What is the chemical symbol for sodium?,Na,K,Cl,Hg
Geology,What is the name of the process by which rocks are formed from magma?,Solidification,Crystallization,Erosion,Weathering
Astronomy,What is the name of the process by which a planet orbits the sun?,Revolution,Rotation,Eclipse,Precession
Physics,What is the formula for power?,Work/Time,Force x Distance,Mass x Acceleration,Voltage x Current
Biology,Which gland is responsible for producing melatonin?,Pineal gland,Thyroid gland,Adrenal gland,Pancreas
Chemistry,Which element has the atomic number 6?,Carbon,Oxygen,Nitrogen,Hydrogen
Geology,What is the name of the layer of the Earth that is most dense?,Core,Mantle,Crust,Continental shelf
Astronomy,What is the name of the process by which a star is born?,Nebula,Supernova,Black hole,White dwarf
Physics,What is the formula for voltage?,Power/Current,Work/Time,Force x Distance,Mass x Acceleration
Biology,Which part of the digestive system absorbs nutrients from food?,Small intestine,Stomach,Large intestine,Esophagus
Chemistry,What is the formula for water?,H2O,CO2,CH4,NH3
Geology,Where do most earthquakes occur?,On plate boundaries,In the middle of plate,Near mountains,Near volcanoes
Astronomy,What is the name of the process by which a planet's gravity can affect the orbit of another planet?,Perturbation,Gravitational lensing,Eclipse,Precession
Physics,What is the formula for momentum?,Mass x Velocity,Force x Distance,Work/Time,Power/Voltage
Biology,Which hormone is responsible for regulating blood sugar levels?,Insulin,Glucagon,Thyroxine,Epinephrine
Chemistry,Which element has the chemical symbol Fe?,Iron,Gold,Carbon,Copper
Geology,What is the name of the theory that explains the movement of tectonic plates?,Plate tectonics,Continental drift,Seafloor spreading,Volcanic activity
Astronomy,What is the name of the process by which light is bent as it passes through a medium?,Refraction,Diffraction,Reflection,Interference
Physics,What is the formula for electric power?,Voltage x Current,Work/Time,Force x Distance,Mass x Acceleration
Biology,What is the process by which cells divide to form new cells?,Mitosis,Meiosis,Fertilization,Apoptosis
Chemistry,Which gas makes up the majority of Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Methane
Geology,What is the name of the process by which sedimentary rocks are formed?,Lithification,Erosion,Metamorphism,Crystallization
Astronomy,What is the name of the process by which a star becomes a black hole?,Black hole formation,Supernova,White dwarf,Red giant
Physics,What is the formula for electric current?,Voltage/Resistance,Power/Voltage,Force x Distance,Mass x Acceleration
