Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Endoplasmic Reticulum
Physics,What is the formula for force?,F = ma,F = mv^2,F = mgh,F = p/t
Chemistry,What is the symbol for potassium?,K,Ka,Kr,Pa
Biology,What is the largest organ in the human body?,Skin,Liver,Brain,Lungs
Physics,What is the speed of light?,299|792|458 m/s,150|000|000 m/s,450|000|000 m/s,600|000|000 m/s
Chemistry,What is the pH of a neutral solution?,7,1,14,0
Biology,What part of the human body produces insulin?,Pancreas,Liver,Kidney,Heart
Physics,"What does the acronym ""AC"" stand for in electricity?",Alternating current,Anion conductor,Atom charger,Auto circuit
Chemistry,What is the chemical formula for water?,H2O,HO,OH2,2H2O
Biology,What is the smallest bone in the human body?,Stapes,Femur,Tibia,Fibula
Physics,What is the unit of resistance in electricity?,Ohm,Ampere,Watt,Volt
Chemistry,What is the atomic number of carbon?,6,12,16,8
Biology,What is the largest animal on earth?,Blue whale,African elephant,Giraffe,Hippopotamus
Physics,What law states that for every action| there is an equal and opposite reaction?,Newton's third law,Einstein's law,Boyle's law,Kepler's law
Chemistry,What is the atomic symbol for gold?,Au,Ag,Hg,Pt
Biology,What part of the human body pumps blood?,Heart,Lungs,Kidneys,Liver
Physics,What is the unit of frequency?,Hertz,Meter,Second,Volt
Chemistry,What is the process by which a solid changes directly into a gas?,Sublimation,Dissolution,Evaporation,Condensation
Biology,What is the name of the smallest blood vessels?,Capillaries,Arteries,Veins,Venules
Physics,What is the force that opposes motion called?,Friction,Gravity,Momentum,Acceleration
Chemistry,Which element is named after a country?,Francium,Germanium,Polonium,Americium
Biology,What is the name of the protein that gives skin its color?,Melanin,Collagen,Elastin,Keratin
Physics,What is the unit of power?,Watt,Joule,Newton,Volt
Chemistry,What is the only metal that is liquid at room temperature?,Mercury,Lead,Zinc,Gold
Biology,What is the process by which plants make food?,Photosynthesis,Respiration,Digestion,Transpiration
Physics,What is the SI unit of pressure?,Pascal,Newton,Watt,Meter
Chemistry,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Methane
Biology,What is the part of the plant that carries water and nutrients?,Xylem,Phloem,Stamen,Pistil
Physics,What is the unit of work done?,Joule,Watt,Newton,Meter
Chemistry,What is the chemical formula for table sugar?,C12H22O11,NaCl,H2SO4,CaCO3
Biology,What is the organ responsible for regulating metabolism?,Thyroid,Pancreas,Liver,Spleen
Physics,What is the unit of electric charge?,Coulomb,Volt,Ohm,Ampere
Chemistry,What is the process by which a gas changes directly into a solid?,Deposition,Sublimation,Condensation,Evaporation
Biology,What is the smallest unit of life called?,Cell,Atom,Molecule,Organism
Physics,What is the unit of magnetic field strength?,Tesla,Watt,Ohm,Meter
Chemistry,What is the chemical formula for methane?,CH4,CO2,H2SO4,C12H22O11
Biology,What is the process by which water moves through a cell membrane from an area of high concentration to an area of low concentration?,Osmosis,Diffusion,Active transport,Passive transport
Physics,What is the unit of electric potential?,Volt,Coulomb,Ohm,Ampere
Chemistry,What is the process by which a liquid changes into a gas?,Evaporation,Sublimation,Condensation,Dissolution
Biology,What is the main function of the immune system?,To protect the body from disease,To break down food,To eliminate waste,To regulate metabolism
Physics,What is the unit of electric current?,Ampere,Volt,Ohm,Watt
Chemistry,What is the chemical formula for oxygen?,O2,N2,CO2,H2O
Biology,What is the name of the fluid that surrounds cells in the human body?,Interstitial fluid,Cerebrospinal fluid,Pericardial fluid,Synovial fluid
Physics,What is the unit of electric resistance?,Ohm,Ampere,Watt,Volt
Chemistry,What is the process by which a gas changes into a liquid?,Condensation,Deposition,Evaporation,Sublimation
Biology,What is the largest muscle in the human body?,Gluteus maximus,Quadriceps,Hamstring,Bicep
Physics,What is the unit of capacitance?,Farad,Ohm,Volt,Ampere
Chemistry,Which element has the symbol Mn?,Manganese,Molybdenum,Magnesium,Mercury
