Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the chemical symbol for oxygen?,O,H,C,He
Physics,What is the speed of light in a vacuum?,299|792|458 m/s,100|000|000 m/s,500|000|000 m/s,1|000|000|000 m/s
Biology,What is the largest organ in the human body?,Skin,Liver,Brain,Heart
Geology,What is the term for a naturally occurring solid material made up of one or more minerals?,Rock,Stone,Mineral,Gem
Physics,What is the SI unit for electric current?,Ampere,Volt,Watt,Ohm
Chemistry,What type of reaction occurs when two or more elements combine to form a compound?,Synthesis,Decomposition,Single replacement,Double replacement
Biology,What type of tissue connects muscles to bones?,Tendons,Ligaments,Cartilage,Adipose
Geology,What type of rock is formed by the cooling and solidification of molten magma or lava?,Igneous,Sedimentary,Metamorphic,Fossil
Physics,What is the force that opposes motion of two surfaces that are in contact?,Friction,Gravity,Magnetism,Inertia
Chemistry,What is the term for a substance that cannot be decomposed into simpler substances by chemical means?,Element,Molecule,Compound,Ion
Biology,Which of the following senses is not located in the head or neck?,Sense of touch,Sense of taste,Sense of smell,Sense of sight
Geology,What is the study of the physical properties of rocks and minerals?,Mineralogy,Geophysics,Petrology,Sedimentology
Physics,What is the force that causes an object to float in a fluid?,Buoyancy,Momentum,Velocity,Density
Chemistry,What is the term for a process that releases energy in the form of heat and/or light?,Exothermic,Endothermic,Neutral,Unstable
Biology,What is the process by which plants convert sunlight into food?,Photosynthesis,Respiration,Digestion,Circulation
Geology,What is the process by which rocks are broken down into smaller pieces?,Weathering,Erosion,Deposition,Compaction
Physics,What is the term for the rate at which velocity changes over time?,Acceleration,Velocity,Force,Energy
Chemistry,What is the term for the pressure exerted by a gas on its container?,Gas pressure,Atmospheric pressure,Vacuum pressure,Thermal pressure
Biology,What type of blood cell is responsible for carrying oxygen to the body's tissues?,Red blood cells,White blood cells,Platelets,Neurons
Geology,What type of rock is formed from pre-existing rocks that have been changed by heat and/or pressure?,Metamorphic,Igneous,Sedimentary,Fossil
Physics,What is the term for the energy that an object possesses due to its motion?,Kinetic energy,Potential energy,Thermal energy,Nuclear energy
Chemistry,What is the measure of the acidity or basicity of a solution?,pH,Concentration,Molarity,Weight
Biology,What is the process by which the body breaks down food into nutrients that can be absorbed into the bloodstream?,Digestion,Respiration,Circulation,Absorption
Geology,What is the term for a naturally occurring concentration of minerals with economic value?,Ore deposit,Vein,Lode,Reservoir
Physics,What is the force that causes an object to move in a circular path?,Centripetal force,Gravitational force,Magnetic force,Frictional force
Chemistry,What is the term for a chemical reaction in which a compound breaks down into two or more simpler substances?,Decomposition,Synthesis,Single replacement,Double replacement
Biology,What type of muscle is responsible for involuntary movements such as breathing and digestion?,Smooth muscle,Skeletal muscle,Cardiac muscle,Voluntary muscle
Geology,What is the term for the layer of the Earth between the crust and the core?,Mantle,Asthenosphere,Lithosphere,Crust
Physics,What is the term for the force of attraction between two objects with mass?,Gravity,Magnetism,Inertia,Friction
Chemistry,What is the term for a mixture in which the solute particles are too small to be seen without a microscope?,Solution,Suspension,Colloid,Emulsion
Biology,What part of the brain is responsible for coordinating movement and balance?,Cerebellum,Cerebrum,Medulla oblongata,Midbrain
Geology,What is the term for the process by which sediment is moved from one place to another?,Erosion,Deposition,Weathering,Compaction
Physics,What is the term for the rate at which work is done?,Power,Force,Velocity,Energy
Chemistry,What is the term for a solution that has a higher concentration of solute than another solution?,Hypertonic,Hypotonic,Isotonic,Neutral
Biology,What is the process by which bacteria divide to form two identical daughter cells?,Binary fission,Mitosis,Meiosis,Budding
Geology,What is the term for the boundary between two tectonic plates that are moving apart?,Divergent boundary,Convergent boundary,Transform boundary,Subduction zone
Physics,What is the term for the study of the relationships between matter and energy?,Physics,Chemistry,Biology,Geology
Chemistry,What is the term for a substance that speeds up a chemical reaction without being consumed itself?,Catalyst,Reactant,Product,Enzyme
Biology,What type of tissue lines the internal and external surfaces of the body?,Epithelial tissue,Connective tissue,Muscle tissue,Nervous tissue
Geology,What is the term for a dead organism that has been preserved in rock or sediment?,Fossil,Trace fossil,Cast fossil,Mold fossil
Physics,What is the term for the amount of matter in an object?,Mass,Weight,Volume,Density
Chemistry,What is the term for the attraction between atoms that allows them to form chemical bonds?,Electronegativity,Ionization energy,Electron affinity,Valence
Biology,What is the process by which cells convert glucose into ATP| the energy currency of the cell?,Cellular respiration,Photosynthesis,Fermentation,Glycolysis
Geology,What is the term for the process by which sediment is compacted and cemented together?,Lithification,Erosion,Deposition,Weathering
Physics,What is the term for the energy stored in an object due to its position or configuration?,Potential energy,Kinetic energy,Thermal energy,Nuclear energy
Chemistry,What is the term for a solution that has a lower concentration of solute than another solution?,Hypotonic,Hypertonic,Isotonic,Neutral
Biology,What is the process by which DNA is copied in preparation for cell division?,Replication,Transcription,Translation,Mutation
Geology,What is the term for a measure of the intensity of an earthquake at a specific location?,Magnitude,Amplitude,Frequency,Intensity
Physics,What is the term for the resistance of an object to a change in its state of motion?,Inertia,Gravity,Friction,Momentum
