Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the speed of light?,299|792|458 m/s,300|000|000 m/s,250|000|000 m/s,350|000|000 m/s
Biology,What is the smallest unit of life?,Cell,Organism,Tissue,Atom
Chemistry,What is the atomic number of carbon?,6,8,12,14
Astronomy,What is the nearest star to Earth?,Proxima Centauri,Alpha Centauri A,Alpha Centauri B,Barnard's Star
Physics,What is Newton's first law of motion?,An object in motion will remain in motion unless acted upon by a force.,The force acting on an object is equal to the mass of the object times its acceleration.,For every action| there is an equal and opposite reaction.,None of the above.
Biology,What is the process by which plants make their own food?,Photosynthesis,Respiration,Fermentation,Digestion
Chemistry,What is the symbol for gold?,Au,Ag,Pt,Cu
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Uranus
Physics,What is the force that opposes motion between two objects in contact?,Friction,Gravity,Magnetism,Tension
Biology,Which system in the human body is responsible for producing and releasing hormones?,Endocrine system,Nervous system,Muscular system,Reproductive system
Chemistry,What is the pH of a neutral solution?,7,6,8,5
Astronomy,What is the name of our galaxy?,Milky Way,Andromeda,Triangulum,Pinwheel
Physics,What is the SI unit of force?,Newton,Joule,Watt,Pascal
Biology,In what part of the body are red blood cells produced?,Bone marrow,Spleen,Liver,Kidney
Chemistry,What is the process called where a liquid turns into a gas?,Evaporation,Condensation,Boiling,Sublimation
Astronomy,What is the name for a small| icy body that orbits the sun?,Comet,Asteroid,Meteor,Meteorite
Physics,What is the difference between speed and velocity?,Velocity includes direction; speed does not.,Speed includes direction; velocity does not.,They are the same thing.,None of the above.
Biology,What is the function of the pancreas in the human body?,Produces insulin and regulates blood sugar,Digests food in the stomach,Filters waste products from the blood,Transports oxygen to the body's cells
Chemistry,What is the symbol for sodium?,Na,K,Ca,Mg
Astronomy,What are the two types of planets in our solar system?,Terrestrial and gas giants,Terrestrial and ice giants,Gas giants and ice giants,Rocky and gas planets
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transferred or transformed.,The force acting on an object is equal to the mass of the object times its acceleration.,An object in motion will remain in motion unless acted upon by a force.,None of the above.
Biology,What is the function of the liver in the human body?,Filters toxins and produces bile,Pumps blood throughout the body,Produces and releases hormones,Breaks down food in the stomach
Chemistry,What is the symbol for helium?,He,Ne,Ar,Kr
Astronomy,What is the name of the largest moon in our solar system?,Ganymede,Europa,Titan,Callisto
Physics,What is the formula for speed?,Distance divided by time,Time divided by distance,Distance times time,None of the above.
Biology,What is the function of the respiratory system?,Take in oxygen and release carbon dioxide,Pump blood throughout the body,Digest food in the stomach,Collect and excrete waste products
Chemistry,What is the process called where a gas turns into a liquid?,Condensation,Evaporation,Boiling,Sublimation
Astronomy,What is a black hole?,A region of space with gravity so strong nothing can escape,A star that has exploded,A planet without a star,None of the above.
Physics,What is the SI unit of power?,Watt,Joule,Newton,Pascal
Biology,What is a gene?,A segment of DNA that codes for a specific trait,A type of protein,A type of cell,The basic unit of life
Chemistry,What is the symbol for oxygen?,O,H,N,C
Astronomy,What is a light-year?,The distance light travels in one year,The distance Earth travels in one year,The distance from the sun to Earth,The distance from the sun to Pluto
Physics,What is the formula for acceleration?,Final velocity minus initial velocity divided by time,Distance divided by time,Distance times time,None of the above.
Biology,What is the function of the immune system in the human body?,Defend against infection and disease,Digest food in the stomach,Pump blood throughout the body,Filter waste products from the blood
Chemistry,What is the process called where a solid turns into a gas?,Sublimation,Melting,Freezing,Boiling
Astronomy,What is the name of the largest volcano in our solar system?,Olympus Mons,Mauna Kea,Mount Etna,Mount Fuji
Physics,What is the formula for force?,Mass times acceleration,Distance divided by time,Velocity times time,None of the above.
Biology,What is the function of the circulatory system in the human body?,Transport oxygen and nutrients throughout the body,Digest food in the stomach,Filter waste products from the blood,Regulate the body's water balance
Chemistry,What is the symbol for carbon dioxide?,CO2,H2O,O2,O3
Astronomy,What is a meteorite?,A piece of rock or metal that has fallen to Earth from space,A small| icy body that orbits the sun,A rocky planet,None of the above.
Physics,What is the formula for work?,Force times distance,Mass times acceleration,Velocity times time,None of the above.
Biology,What is the function of the nervous system in the human body?,Send and receive signals throughout the body,Digest food in the stomach,Filter waste products from the blood,Pump blood throughout the body
Chemistry,What is the process called where a liquid turns into a solid?,Freezing,Melting,Sublimation,Boiling
Astronomy,What is the name of the largest asteroid in our solar system?,Ceres,Vesta,Eros,Hygiea
Physics,What is the formula for power?,Work done divided by time,Force times distance,Mass times acceleration,None of the above.
Biology,What is the function of the skeletal system in the human body?,Support and protect the body,Digest food in the stomach,Pump blood throughout the body,Filter waste products from the blood
Chemistry,What is the symbol for nitrogen?,N,O,C,H
Astronomy,What is a galaxy?,A system of stars| gas| and dust held together by gravity,A planet orbiting a star,A small| icy body that orbits the sun,None of the above.
Physics,What is the formula for momentum?,Mass times velocity,Force times distance,Work done divided by time,None of the above.
