Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Astronomy,What is the closest planet to the sun?,Mercury,Venus,Mars,Jupiter
Biology,What is the powerhouse of the cell?,Mitochondria,Chloroplast,Nucleus,Endoplasmic Reticulum
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Physics,What is the speed of light?,299|792|458 m/s,233|173|500 m/s,300|000|000 m/s,271|780|000 m/s
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Biology,What is the smallest bone in the human body?,Stapes,Femur,Tibia,Radius
Chemistry,What is the chemical symbol for sodium?,Na,Mg,K,Al
Physics,Who discovered the law of gravity?,Isaac Newton,Galileo Galilei,Albert Einstein,Stephen Hawking
Astronomy,What is the name of the first satellite sent into space?,Sputnik 1,Explorer 1,Vanguard 1,Spacelab
Biology,What are the four blood types?,A| B| AB| O,A| B| AB| C,D| E| F| G,X| Y| Z| W   
Chemistry,What is the chemical formula for water?,H2O,CO2,NH3,C6H12O6
Physics,What is the smallest particle of an element called?,Atom,Molecule,Ion,Electron
Astronomy,What is the brightest star in our solar system?,Sun,Sirius,Alpha Centauri A,Vega
Biology,What is the largest organ in the human body?,Skin,Liver,Brain,Heart
Chemistry,What is the chemical symbol for oxygen?,O,N,H,He
Physics,What is the force that opposes motion called?,Friction,Gravity,Inertia,Momentum
Astronomy,What is the name of the second largest planet in our solar system?,Saturn,Jupiter,Uranus,Neptune
Biology,Which body system is responsible for fighting infections?,Immune System,Digestive System,Nervous System,Muscular System
Chemistry,What is the chemical symbol for helium?,He,H,C,N
Physics,What is the unit of force in the metric system?,Newton,Joule,Watt,Volt
Astronomy,What is the name of the galaxy we live in?,Milky Way,Andromeda,Triangulum,Centaurus A
Biology,What is the smallest unit of life?,Cell,Organ,Tissue,Organism
Chemistry,What is the chemical symbol for nitrogen?,N,O,H,Ne
Physics,What is the formula for speed?,Distance/Time,Time/Distance,Distance*Time,Time*Distance
Astronomy,What is the term for an object that orbits a planet?,Moon,Star,Asteroid,Meteor
Biology,What is the major muscle used in breathing?,Diaphragm,Bicep,Quad,Pectoral
Chemistry,What is the chemical symbol for carbon?,C,H,O,N
Physics,What is the unit of power?,Watt,Joule,Volt,Ampere
Astronomy,What is the name of the largest moon in our solar system?,Ganymede,Titan,Callisto,Io
Biology,What is the function of the liver?,Breaks down toxins,Stores bile,Regulates blood sugar,Produces insulin
Chemistry,What is the chemical formula for glucose?,C6H12O6,C2H6O,CH4O,C4H8O2
Physics,What is the unit of electrical resistance called?,Ohm,Watt,Ampere,Voltage
Astronomy,What is the name of the largest asteroid in our solar system?,Ceres,Vesta,Pallas,Hygiea
Biology,What is the function of red blood cells?,Carry oxygen,Fight infections,Break down food,Produce hormones
Chemistry,What is the chemical symbol for silver?,Ag,Au,Cu,Fe
Physics,What is the formula for work?,Force x Distance,Distance x Force,Force/Distance,Distance/Force
Astronomy,What is the name of Saturn's largest moon?,Titan,Rhea,Mimas,Enceladus
Biology,What is the function of the stomach?,Digests food,Makes hormones,Pumps blood,Controls breathing
Chemistry,What is the chemical formula for carbon dioxide?,CO2,CO,CH4,C2H5OH
Physics,What is the unit of time?,Second,Minute,Hour,Day
Astronomy,What is the name of the largest volcano on Mars?,Olympus Mons,Hecates Tholus,Elysium Mons,Ascraeus Mons
Biology,What is the function of the pancreas?,Produces insulin,Breaks down fats,Pumps blood,Rids body of waste
Chemistry,What is the chemical formula for ammonia?,NH3,HNO3,H2SO4,NaOH
Physics,What is the unit of frequency?,Hertz,Watt,Meter,Second
Astronomy,What is the name of the constellation that contains the North Star?,Ursa Minor,Orion,Leo,Aquarius
Biology,What is the function of white blood cells?,Fight infections,Transport oxygen,Digest food,Contract muscles
Chemistry,What is the chemical formula for hydrochloric acid?,HCl,H2SO4,HNO3,NaOH
Physics,What is the formula for acceleration?,Change in Velocity/Time,Change in Time/Velocity,Velocity/Time,Time/Velocity
