Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physics,What is the force that opposes motion?,Friction,Inertia,Gravity,Momentum
Biology,Which part of the cell is responsible for energy production?,Mitochondria,Nucleus,Endoplasmic reticulum,Golgi apparatus
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Physics,What is the SI unit of force?,Newton,Joule,Watt,Meter
Biology,What is the name of the process by which plants convert sunlight into food?,Photosynthesis,Cellular respiration,Mitosis,Meiosis
Chemistry,What do you get when you mix acid and base?,Salt and water,Carbon dioxide and water,Hydrogen gas,Ammonia
Physics,What is the acceleration of gravity on Earth?,9.8 m/s²,6.2 m/s²,12.1 m/s²,2.6 m/s²
Biology,Which substance makes up the majority of a cell's membrane?,Phospholipids,Proteins,Carbohydrates,Cholesterol
Chemistry,What is the boiling point of water in Celsius?,100°C,0°C,-273°C,50°C
Physics,What is the formula to calculate speed?,Speed = distance/time,Speed = force/mass,Speed = work/energy,Speed = power/time
Biology,What is the name of the process by which cells divide into two identical cells?,Mitosis,Meiosis,Photosynthesis,Cellular respiration
Chemistry,What is the chemical symbol for sodium?,Na,Cl,Ca,K
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed.,Energy can be created from nothing.,Energy can be destroyed completely.,Energy can only be moved from one place to another.
Biology,Which type of cell reproduction results in four genetically different daughter cells?,Meiosis,Mitosis,Photosynthesis,Cellular respiration
Chemistry,What is the pH of pure water?,7,1,14,10
Physics,What is the relationship between mass and acceleration in Newton's Second Law of Motion?,Force = mass x acceleration,Acceleration = force/mass,Mass = force x acceleration,Acceleration = mass/force
Biology,Which part of the plant is responsible for absorbing water and nutrients from the soil?,Roots,Leaves,Stem,Flower
Chemistry,What is the chemical symbol for calcium?,Ca,Na,K,Cu
Physics,Which law states that every action has an equal and opposite reaction?,Newton's Third Law of Motion,Newton's Second Law of Motion,Newton's First Law of Motion,Law of Gravity
Biology,Which system is responsible for carrying oxygen and nutrients to the body's cells?,Circulatory system,Respiratory system,Digestive system,Nervous system
Chemistry,What is the chemical symbol for iron?,Fe,Au,Ag,Pb
Physics,What is the formula for work?,Work = force x distance,Work = distance x time,Work = mass x acceleration,Work = power/time
Biology,What is the name of the process by which animals break down food into energy?,Digestion,Photosynthesis,Cellular respiration,Metabolism
Chemistry,What is the chemical symbol for oxygen?,O,H,N,C
Physics,What is Newton's First Law of Motion?,An object at rest will stay at rest| and an object in motion will stay in motion at a constant velocity| unless acted upon by an external force.,Force equals mass times acceleration.,For every action there is an equal and opposite reaction.,The rate of change of momentum of a body is directly proportional to the force applied| and takes place in the direction in which the force is applied.
Biology,What is the name of the process by which plants break down glucose to release energy?,Cellular respiration,Photosynthesis,Mitosis,Meiosis
Chemistry,What is the chemical symbol for nitrogen?,N,O,H,C
Physics,What is the formula for momentum?,Momentum = mass x velocity,Momentum = force x time,Momentum = power/force,Momentum = distance/time
Biology,What is the name of the process by which organisms produce offspring similar to themselves?,Reproduction,Photosynthesis,Cellular respiration,Metabolism
Chemistry,What is the chemical symbol for hydrogen?,H,N,O,C
Physics,What is the formula for pressure?,Pressure = force/area,Pressure = mass/volume,Pressure = work/time,Pressure = power/current
Biology,Which part of the brain is responsible for controlling voluntary movements?,Cerebellum,Cerebrum,Hippocampus,Thalamus
Chemistry,What is the chemical symbol for carbon?,C,H,O,N
Physics,What is the law of universal gravitation?,Every object in the universe is attracted to every other object with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between their centers.,The rate of change of momentum of a body is directly proportional to the force applied| and takes place in the direction in which the force is applied.,For every action there is an equal and opposite reaction.,An object at rest will stay at rest| and an object in motion will stay in motion at a constant velocity| unless acted upon by an external force.
Biology,Which part of the digestive system is responsible for absorbing nutrients into the bloodstream?,Small intestine,Large intestine,Stomach,Esophagus 
Chemistry,What is the chemical symbol for lead?,Pb,Fe,Ag,Au
Physics,What is the formula for force?,Force = mass x acceleration,Force = distance/time,Force = work/energy,Force = power/current
Biology,Which system is responsible for removing waste products from the body?,Excretory system,Circulatory system,Respiratory system,Digestive system
Chemistry,What is the chemical symbol for chlorine?,Cl,Na,K,Ca
Physics,What is Newton's Third Law of Motion?,For every action there is an equal and opposite reaction.,Force equals mass times acceleration.,An object at rest will stay at rest| and an object in motion will stay in motion at a constant velocity| unless acted upon by an external force.,The rate of change of momentum of a body is directly proportional to the force applied| and takes place in the direction in which the force is applied.
Biology,Which part of the eye is responsible for seeing color?,Cones,Rods,Lens,Retina
Chemistry,What is the chemical symbol for silver?,Ag,Au,Pb,Fe
Physics,What is the formula for acceleration?,Acceleration = change in velocity / time,Acceleration = force x mass,Acceleration = power/time,Acceleration = distance/time²
Biology,What is the name of the process by which cells specialize for specific functions?,Differentiation,Photosynthesis,Cellular respiration,Mitosis
Chemistry,What is the chemical symbol for potassium?,K,Na,Ca,Cu
Physics,What is the formula for power?,Power = work/time,Power = distance/time,Power = force/mass,Power = current/voltage
Biology,Which part of the ear is responsible for balancing?,Semicircular canals,Cochlea,Eardrum,Stapes
Chemistry,What is the chemical symbol for copper?,Cu,Ag,Au,Pb
Physics,What is the formula for work done by a machine?,Work = force x distance,Work = force x velocity,Work = power x time,Work = mass x acceleration
Biology,Which system is responsible for controlling and coordinating the body's functions?,Nervous system,Circulatory system,Respiratory system,Endocrine system
Chemistry,What is the chemical symbol for helium?,He,H,O,N
Physics,What is the formula for potential energy?,Potential energy = mass x gravity x height,Potential energy = force x distance,Potential energy = power x time,Potential energy = force/mass
Biology,What is the name of the tiny air sacs in the lungs where gas exchange occurs?,Alveoli,Bronchi,Trachea,Larynx
Chemistry,What is the chemical symbol for mercury?,Hg,Au,Ag,Pb
Physics,What is the formula for kinetic energy?,Kinetic energy = 1/2 x mass x velocity²,Kinetic energy = force x distance,Kinetic energy = power x time,Kinetic energy = force/mass
Biology,Which system is responsible for protecting the body against disease?,Immune system,Nervous system,Endocrine system,Excretory system
