Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Vacuole
Chemistry,What is the chemical symbol for gold?,Au,Ag,Cu,Fe
Astronomy,Which planet is closest to the sun?,Mercury,Venus,Earth,Mars
Physics,What is the formula for calculating force?,Force = mass x acceleration,Force = distance ÷ time,Force = velocity x time,Force = energy ÷ time
Biology,Which type of blood cell is responsible for clotting?,Platelets,Red blood cells,White blood cells,Plasma
Chemistry,What is the pH scale used to measure?,Acidity,Temperature,Pressure,Density
Astronomy,What is the name of the biggest star in our solar system?,The Sun,Proxima Centauri,Alpha Centauri A,Vega
Physics,What is Newton's first law of motion?,An object at rest stays at rest and an object in motion stays in motion with a constant velocity.,The rate of change of momentum of an object is directly proportional to the force applied| and occurs in the direction in which the force is applied.,The acceleration of an object is directly proportional to the force applied to the object.,Every action has an equal and opposite reaction.
Biology,Which system in the body is responsible for fighting off infections?,Immune system,Nervous system,Circulatory system,Endocrine system
Chemistry,What is the name for a substance that speeds up a chemical reaction without being used up in the reaction?,Catalyst,Enzyme,Reactant,Product
Astronomy,What is the name of the second largest moon in our solar system?,Titan,Ganymede,Callisto,Io
Physics,What is the formula for calculating work?,Work = force x distance,Work = mass x acceleration,Work = velocity x time,Work = energy ÷ time
Biology,What is the function of the ribosome in a cell?,Protein synthesis,Cell division,Energy production,Waste removal
Chemistry,What is the name for the smallest particle of an element that retains the properties of that element?,Atom,Molecule,Compound,Ion
Astronomy,Which planet has the shortest day of all the planets in our solar system?,Jupiter,Saturn,Uranus,Neptune
Physics,What is the equation for calculating speed?,Speed = distance ÷ time,Speed = mass x acceleration,Speed = velocity x time,Speed = energy ÷ time
Biology,What is the largest organ in the human body?,Skin,Brain,Heart,Liver
Chemistry,What is the name for a substance that has a pH greater than 7?,Base,Acid,Alkali,Neutral
Astronomy,What is the name of the galaxy that contains the Milky Way?,The Local Group,The Virgo Supercluster,Andromeda,Magellanic Clouds
Physics,What is the formula for calculating acceleration?,Acceleration = change in velocity ÷ time,Acceleration = force x mass,Acceleration = work ÷ time,Acceleration = distance ÷ time^2
Biology,What is the process by which plants convert sunlight into energy called?,Photosynthesis,Cellular respiration,Fermentation,Glycolysis
Chemistry,What is the name for a molecule composed of two or more chemically bonded atoms?,Molecule,Compound,Ion,Element
Astronomy,What is the name of the largest moon of Saturn?,Titan,Rhea,Iapetus,Enceladus
Physics,What is the formula for calculating power?,Power = work ÷ time,Power = force x distance,Power = voltage x current,Power = energy ÷ time
Biology,Which part of a plant cell is responsible for capturing sunlight?,Chloroplast,Mitochondria,Nucleus,Vacuole
Chemistry,What is the name for a substance that releases hydrogen ions when dissolved in water?,Acid,Base,Alkali,Neutral
Astronomy,What is the name of the second brightest star in the night sky?,Canopus,Sirius,Arcturus,Vega
Physics,What is Newton's second law of motion?,The rate of change of momentum of an object is directly proportional to the force applied| and occurs in the direction in which the force is applied.,An object at rest stays at rest and an object in motion stays in motion with a constant velocity.,The acceleration of an object is directly proportional to the force applied to the object.,Every action has an equal and opposite reaction.
Biology,Which part of the eye is responsible for color vision?,Cones,Rods,Cornea,Lens
Chemistry,What is the name for a substance that can be dissolved in a solvent?,Soluble,Insoluble,Solution,Solute
Astronomy,What is the name of the first spacecraft to land on the moon?,Apollo 11,Voyager 1,Pioneer 10,Cassini
Physics,What is the formula for calculating force due to gravity?,F = G x (m1 x m2) ÷ d^2,F = m x a,F = P x A,F = Q x V
Biology,What is the process by which animals break down food to release energy called?,Cellular respiration,Photosynthesis,Fermentation,Digestion
Chemistry,What is the name for a substance that has a pH less than 7?,Acid,Base,Alkali,Neutral
Astronomy,What is the name of the largest planet in our solar system?,Jupiter,Saturn,Uranus,Neptune
Physics,What is the formula for calculating electric charge?,Q = I x t,Q = P ÷ V,Q = C x V,Q = F ÷ A
Biology,What is the name for the network of protein fibers that gives cells shape and structure?,Cytoskeleton,Microtubules,Actin,Intermediate filaments
Chemistry,What is the name for an atom that has gained or lost electrons?,Ion,Isotope,Element,Compound
