Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Physical Science,What is the smallest particle of an element that retains the properties of that element?,Atom,Proton,Electron,Quark
Earth Science,What causes earthquakes?,Tectonic plate movement,Volcanoes,Meteorite impacts,Tsunamis
Biology,What is the process by which plants use sunlight to create food?,Photosynthesis,Respiration,Transpiration,Reproduction
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,O2
Physics,What is the formula for force?,F=ma,E=mc2,P=mv,G=mg
Earth Science,What is the layer of Earth's atmosphere in which weather occurs?,Troposphere,Stratosphere,Mesosphere,Thermosphere
Biology,What is the basic unit of life?,Cell,Organ,Tissue,Protein
Physical Science,What type of energy is stored in an object due to its position or condition?,Potential energy,Kinetic energy,Thermal energy,Radiant energy
Chemistry,What type of bond is formed when electrons are shared between atoms?,Covalent bond,Ionic bond,Hydrogen bond,Van der Waals force
Physics,What is the acceleration due to gravity on Earth?,9.8 m/s^2,3.0 × 10^8 m/s,3600 s/h,1.6 × 10^-19 C
Biology,What is the process by which a cell divides into two new cells?,Mitosis,Meiosis,Fertilization,Apoptosis
Chemistry,What is the pH range of an acid?,0-6,7,8-14,1-13
Earth Science,What is the layer of Earth's atmosphere that absorbs most of the sun's ultraviolet radiation?,Ozone layer,Troposphere,Thermosphere,Stratosphere
Physical Science,What is the transfer of heat through a substance without any movement of the substance itself?,Conduction,Convection,Radiation,Evaporation
Chemistry,What is the atomic number of carbon?,6,8,10,12
Biology,What is the genetic material that carries the instructions for the development and function of living things?,DNA,RNA,Protein,Lipid
Earth Science,What is the process by which water changes from a liquid into a gas?,Evaporation,Condensation,Precipitation,Transpiration
Physical Science,What is the SI unit for temperature?,Kelvin,Celsius,Fahrenheit,Rankine
Chemistry,What type of reaction occurs when two or more substances combine to form a new compound?,Synthesis,Decomposition,Combustion,Neutralization
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transferred or transformed,Energy is always conserved in a closed system,Energy is equivalent to mass times the speed of light squared,Energy changes form in a closed system
Biology,What is the molecule that carries oxygen in red blood cells?,Hemoglobin,Chlorophyll,Insulin,Glucose
Earth Science,What is the process by which sediment is moved from one place to another?,Erosion,Weathering,Deposition,Compaction
Physical Science,What is the force that opposes motion between two surfaces in contact?,Friction,Gravity,Magnetism,Electricity
Chemistry,What is the process by which a liquid changes into a gas at the surface?,Evaporation,Condensation,Sublimation,Boiling
Physics,What is the unit of electrical resistance?,Ohm,Ampere,Watt,Volt
Biology,What is the process by which organisms use energy to take in nutrients and create waste?,Metabolism,Homeostasis,Evolution,Adaptation
Chemistry,What is the formula for the compound sodium chloride?,NaCl,H2O,CO2,CaCO3
Earth Science,What is the process by which rock is broken down into smaller pieces by wind| water| or ice?,Weathering,Erosion,Deposition,Compaction
Physical Science,What is the SI unit for electric current?,Ampere,Volt,Watt,Ohm
Chemistry,What is the process by which an acid and a base neutralize each other to form water and a salt?,Neutralization,Combustion,Decomposition,Synthesis
Physics,What is the unit of electrical power?,Watt,Ampere,Volt,Ohm
Biology,What is the process by which a cell uses oxygen to produce energy from food?,Cellular respiration,Photosynthesis,Fermentation,Glycolysis
Earth Science,What is the process by which water falls to the ground from the atmosphere?,Precipitation,Evaporation,Condensation,Transpiration
Physical Science,What is the force that causes an object to move in a circular path?,Centripetal force,Gravity,Friction,Magnetism
Chemistry,What is the formula for the compound carbon dioxide?,CO2,H2O,NaCl,CaCO3
Physics,What is the unit of electrical potential difference?,Volt,Ampere,Watt,Ohm
Biology,What is the process by which information is passed from one generation to the next through genes?,Heredity,Mutation,Selection,Adaptation
Earth Science,What is the process by which a glacier moves downhill?,Flow,Plucking,Abrasion,Calving
Physical Science,What is the law of conservation of mass?,Matter cannot be created or destroyed| only transformed,Mass is always conserved in a closed system,Mass is equivalent to energy divided by the speed of light squared,Mass changes form in a closed system
Chemistry,What is the process by which a gas changes into a liquid?,Condensation,Evaporation,Sublimation,Boiling
Physics,What is the unit of electrical current?,Ampere,Volt,Watt,Ohm
Biology,What is the process by which plants respond to environmental stimuli?,Tropism,Homeostasis,Metabolism,Reproduction
Earth Science,What is the process by which sediment is dropped in a new location?,Deposition,Erosion,Weathering,Compaction
Physical Science,What is the force that causes an object to resist a change in motion?,Inertia,Gravity,Friction,Magnetism
Chemistry,What is the process by which an element breaks down into a lighter element or elements?,Radioactive decay,Fission,Fusion,Combustion
Physics,What is the unit of electrical resistance?,Ohm,Ampere,Watt,Volt
