Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Astronomy,What is the largest planet in our solar system?,Jupiter,Venus,Mars,Saturn
Biology,Which type of blood vessel carries blood away from the heart?,Artery,Vein,Capillary,None of the above
Chemistry,What is the chemical symbol for gold?,Au,Hg,Ag,Fe
Physics,What is the formula for speed?,Speed=Distance/Time,Distance=Speed*Time,Time=Distance/Speed,Speed=Time/Distance
Biology,What is the function of the mitochondria?,Produce energy,Store waste,Break down food,Protect the nucleus
Chemistry,What is the formula for water?,H2O,CO2,NaCl,O2
Astronomy,"Which planet is nicknamed the ""Red Planet""?",Mars,Venus,Jupiter,Saturn
Physics,What is Newton's First Law?,An object at rest will stay at rest and an object in motion will stay in motion with a constant velocity| unless acted upon by an external force.,The force applied to an object is equal to the object's mass times its acceleration.,For every action| there is an equal and opposite reaction.,None of the above
Biology,What is the respiratory system responsible for?,Breathing,Digestion,Circulation,Excretion
Chemistry,What is the chemical formula for glucose?,C6H12O6,H2O,NaCl,CO2
Astronomy,What is the name of the largest moon of Saturn?,Titan,Enceladus,Tethys,Rhea
Physics,What is the formula for acceleration?,Acceleration=Change in velocity/Time,Change in velocity=Acceleration/Time,Time=Acceleration/Change in velocity,Acceleration=Time/Change in velocity
Biology,What is DNA?,Genetic material,A protein,Red blood cells,Muscle fibers
Chemistry,What is the most common gas in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Helium
Astronomy,What is the name of the closest star to our solar system?,Proxima Centauri,Alpha Centauri,Sirius,Betelgeuse
Physics,What is the SI unit for time?,Seconds,Minutes,Hours,Days
Biology,What is the function of white blood cells?,Fight infection,Transport oxygen,Regulate blood sugar,Provide energy
Chemistry,What is the chemical formula for carbon dioxide?,CO2,H2O,NaCl,C6H12O6
Astronomy,What is the name of the largest asteroid in our solar system?,Ceres,Vesta,Eros,Gaspra
Physics,What is the formula for force?,Force=Mass x Acceleration,Mass=Force/Acceleration,Acceleration=Force/Mass,None of the above
Biology,What is the largest organ in the human body?,Skin,Liver,Lungs,Heart
Chemistry,What is the formula for methane?,CH4,C6H12O6,NaCl,H2O
Astronomy,What is the name of the bright| star-like object that appears near sunset or sunrise?,Venus,Mars,Jupiter,Saturn
Physics,What is the formula for momentum?,Momentum=Mass x Velocity,Mass=Momentum/Velocity,Velocity=Momentum/Mass,None of the above
Biology,What is the function of the nervous system?,Control and coordinate body functions,Produce insulin,Transport oxygen to cells,Break down carbohydrates
Chemistry,What is the chemical formula for table salt?,NaCl,CaCO3,H2SO4,Fe2O3
Astronomy,What is the name of the closest galaxy to our Milky Way?,Andromeda,Canis Major Dwarf,Sagittarius Dwarf Elliptical,Triangulum
Physics,What is the formula for work?,Work=Force x Distance,Force=Work x Distance,Distance=Work x Force,None of the above
Biology,What is the function of the circulatory system?,Transport blood,Move the body,Remove waste,Store energy
Chemistry,What is the chemical symbol for helium?,He,Hg,Ag,Fe
Astronomy,What is the name of the planet with the Great Red Spot?,Jupiter,Venus,Mars,Saturn
Physics,What is the formula for power?,Power=Work/Time,Work=Power x Time,Time=Power/Work,None of the above
Biology,What is the function of the skeletal system?,Support and protect the body,Break down food,Transport oxygen,Produce hormones
Chemistry,What is the chemical formula for hydrochloric acid?,HCl,NaOH,H2SO4,NH3
Astronomy,What is the name of the largest volcano in our solar system?,Olympus Mons,Maat Mons,Arsia Mons,Pavonis Mons
Physics,What is the formula for potential energy?,Potential Energy=Mass x Gravity x Height,Mass=Potential Energy/Gravity/Height,Gravity=Potential Energy/Mass/Height,None of the above
Biology,What is the function of the excretory system?,Eliminate waste,Produce insulin,Transport oxygen,Digest food
Chemistry,What is the chemical symbol for sodium?,Na,Hg,Ag,Fe
Astronomy,What is the name of the first man-made object to reach interstellar space?,Voyager 1,Voyager 2,New Horizons,Pioneer 10
Physics,What is the formula for kinetic energy?,Kinetic Energy=0.5 x Mass x Velocity^2,Mass=Kinetic Energy/0.5 x Velocity^2,Velocity=Kinetic Energy/0.5 x Mass,None of the above
Biology,What is the function of the endocrine system?,Produce hormones,Transport oxygen,Regulate blood sugar,Eliminate waste
Chemistry,What is the chemical formula for oxygen?,O2,CO2,H2O,NaCl
Astronomy,What is the name of the dwarf planet discovered in 2005?,Eris,Pluto,Haumea,Makemake
Physics,What is the formula for torque?,Torque=Force x Distance,Force=Torque/Distance,Distance=Torque/Force,None of the above
Biology,What is the function of the muscular system?,Movement,Transport oxygen,Eliminate waste,Control body functions
Chemistry,What is the chemical symbol for iron?,Fe,Hg,Ag,Na
Astronomy,What is the name of the spacecraft that landed on Titan?,Huygens Probe,Cassini-Huygens,Viking,Apollo 11
Physics,What is the formula for pressure?,Pressure=Force/Area,Force=Pressure x Area,Area=Pressure/Force,None of the above
Biology,What is the function of the integumentary system?,Protection,Transport oxygen,Regulate blood sugar,Digest food
Chemistry,What is the chemical formula for ammonia?,NH3,H2O,NaCl,CO2
Astronomy,What is the name of the asteroid belt located between Mars and Jupiter?,Main Belt,Asteroid Belt Alpha,Asteroid Belt Beta,Asteroid Belt Gamma
Physics,What is the formula for electric power?,Electric Power=Current x Voltage,Current=Electric Power/Voltage,Voltage=Electric Power/Current,None of the above
Biology,What is the function of the immune system?,Protect the body from disease,Transport oxygen,Eliminate waste,Regulate blood sugar
Chemistry,What is the chemical symbol for silver?,Ag,Hg,Fe,Na
Astronomy,What is the name of the spacecraft that was launched to study Pluto?,New Horizons,Voyager,Cassini-Huygens,Mars Odyssey
