Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Chemistry,What is the atomic number of carbon?,6,7,8,9
Biology,Which of the following is not part of the human skin?,Adipose tissue,Dermis,Epidermis,Vitreous humor
Physics,What is the SI unit of electric current?,Ampere,Watt,Volt,Ohm
Earth Science,What type of rock is formed from the cooling and solidification of magma or lava?,Igneous,Sedimentary,Metamorphic,Tectonic
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Biology,What is the smallest unit of life?,Cell,Atom,Molecule,Gene
Physics,What is the formula for gravitational potential energy?,mgh,mgh^2,mg/h,m/g*h
Earth Science,What is the name of the process where water turns into a gas?,Evaporation,Melting,Freezing,Condensation
Chemistry,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Oxygen,Argon,Carbon Dioxide
Biology,Which of the following is not a type of muscle tissue?,Cartilage,Smooth,Skeletal,Cardiac
Physics,What is the formula for force?,ma,mv,pt,m/v
Earth Science,What is the name of the layer of the Earth that is made up of solid rock?,Lithosphere,Atmosphere,Hydrosphere,Biosphere
Chemistry,What is the pH of a neutral solution?,7,4,10,14
Biology,What is the name of the process when cells divide to make new cells?,Cell Division,Mitosis,Meiosis,Reproduction
Physics,What is the formula for acceleration?,Change in velocity/Time,Velocity x Time,Force x Distance,Mass x Velocity
Earth Science,What is the name of the process when soil and rock are transported by wind| water or ice?,Erosion,Deposition,Weathering,Transpiration
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,NO2
Biology,What is the name of the cells that produce insulin in the pancreas?,Beta cells,Alpha cells,Gamma cells,Delta cells
Physics,What is the formula for work done?,Force x Distance,Mass x Velocity,Velocity x Time,Change in velocity/Time
Earth Science,What is another name for a volcano that is currently erupting?,Active,Dormant,Extinct,Pillow
Chemistry,What is the name given to a substance that speeds up a chemical reaction| but is not itself used up in the reaction?,Catalyst,Enzyme,Substrate,Product
Biology,What is the name of the tube that connects the mouth to the stomach?,Esophagus,Trachea,Bronchi,Alveoli
Physics,What is the formula for power?,Work done/Time,Force x Distance,Mass x Velocity,Change in velocity/Time
Earth Science,What is the name of the layer of the Earth that is immediately beneath the crust?,Mantle,Core,Outer core,Troposphere
Chemistry,What is the name of the process where a liquid turns into a gas?,Vaporization,Condensation,Freezing,Melting
Biology,What is the name of the structure that controls the movement of substances in and out of the cell?,Cell membrane,Nucleus,Mitochondria,Ribosomes
Physics,What is the formula for centripetal force?,mv^2/r,mgh,pt,ma
Earth Science,What is the name for the markings on rocks caused by glaciers?,Striations,Sediments,Ripple marks,Faults
Chemistry,What is the name of the compound NH3?,Ammonia,Nitrogen Dioxide,Hydrogen Chloride,Sulfur Dioxide
Biology,What is the name of the type of cell division that produces gametes?,Meiosis,Mitosis,Binary Fission,Budding
Physics,What is the formula for pressure?,Force/Area,Work done/Time,Mass x Acceleration,Change in velocity/Time
Earth Science,What is the name of the process when water vapor turns back into a liquid?,Condensation,Evaporation,Freezing,Melting
Chemistry,What is the name of the compound H2SO4?,Sulfuric Acid,Hydrochloric Acid,Acetic Acid,Nitric Acid
Biology,What is the name of the innermost layer of the skin?,Subcutis,Dermis,Epidermis,Stratum Corneum
Physics,What is the formula for Ohm's Law?,V = IR,P = IV,F = ma,a = V/R
Earth Science,What is the name of the process when rocks are broken down by rain or wind?,Weathering,Erosion,Deposition,Transpiration
Chemistry,What is the name of the compound NaCl?,Sodium Chloride,Potassium Chloride,Calcium Chloride,Magnesium Chloride
Biology,What is the name of the tube that connects the kidney to the bladder?,Ureter,Urethra,Esophagus,Trachea
Physics,What is the formula for electric power?,IV,V/R,I^2R,I/R
Earth Science,What type of rock is formed from the compacting and cementation of sediments?,Sedimentary,Igneous,Metamorphic,Tectonic
Chemistry,What is the name of the process where substances are broken down into simpler substances?,Decomposition,Synthesis,Combustion,Neutralization
Biology,What is the name of the fluid that surrounds the cells in the body?,Interstitial fluid,Plasma,Cerebrospinal fluid,Lymph
Physics,What is the formula for kinetic energy?,1/2 mv^2,mgh,pt,ma^2
Earth Science,What type of rock is formed from the alteration of pre-existing rocks under high pressure and/or temperature?,Metamorphic,Sedimentary,Igneous,Tectonic
Chemistry,What is the name of the process where an acid and a base react to form water and a salt?,Neutralization,Combustion,Synthesis,Decomposition
Biology,What is the name of the cells that produce testosterone in the testes?,Leydig cells,Sertoli cells,Ova,Spermatozoa
Physics,What is the formula for potential difference?,V = IR,F = ma,a = V/R,P = IV
Earth Science,What is the name of the process where sediment is laid down?,Deposition,Erosion,Weathering,Transpiration
Chemistry,What is the name of the compound CO2?,Carbon Dioxide,Carbon Monoxide,Chlorine dioxide,Hydrogen Sulfide
Biology,What is the name of the opening through which urine is expelled from the body?,Urethra,Ureter,Esophagus,Trachea
Physics,What is the formula for electric potential energy?,qV,mgh,pt,ma
Earth Science,What is the name of the process where plants release water vapor through their leaves?,Transpiration,Condensation,Evaporation,Freezing
