Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,Which of the following is not a type of cell?,A. Nerve Cell,B. Muscle Cell,C. Epithelial Cell,D. Fiber Cell
Biology,What is a cell membrane made up of?,A. Proteins and Carbohydrates,B. Lipids and Proteins,C. Carbohydrates and Lipids,D. Proteins Only
Biology,What is the name of the process that breaks down glucose?,A. Photosynthesis,B. Aerobic Respiration,C. Mitosis,D. Anaerobic Respiration
Biology,Which one of the following is not an example of active transport?,A. Endocytosis,B. Phagocytosis,C. Facilitated Diffusion,D. Exocytosis
Biology,What is the formula for photosynthesis?,A. Carbon Dioxide + Water + Light -> Glucose + Oxygen,B. Glucose + Oxygen -> Carbon Dioxide + Water + Light,C. Glucose -> Oxygen + Carbon Dioxide + Light + Water,D. Oxygen + Carbon Dioxide -> Glucose + Water + Light
Biology,Which of the following is not one of the three parts of the cell theory?,A. All cells have a nucleus.,B. All living things are made up of cells.,C. Cells are the basic unit of life.,D. All cells come from pre-existing cells.
Biology,Which organelle functions as the cell's digestive system?,A. Ribosome,B. Nucleus,C. Lysosome,D. Mitochondria
Biology,What is the function of the Golgi apparatus?,A. To produce energy.,B. To store food.,C. To modify| sort| and package proteins.,D. To transport materials throughout the cell.
Biology,Which of the following is not one of the four basic types of tissue in the human body?,A. Connective Tissue,B. Epithelial Tissue,C. Muscle Tissue,D. Nervous Tissue
Biology,What is the function of a neuron?,A. To produce hormones.,B. To protect the brain.,C. To transmit electrical signals.,D. To contract muscle tissue.
Biology,Which of the following is not a type of blood cell?,A. Neutrophil,B. Platelet,C. Leukocyte,D. Erythrocyte
Biology,What does DNA stand for?,A. Deoxyribonucleic Acid,B. Ribonucleic Acid,C. Deoxyribose Nucleotide Acid,D. Ribose Nucleotide Acid
Biology,What process produces sex cells?,A. Mitosis,B. Meiosis,C. Photosynthesis,D. Respiration
Biology,What is the function of the Endoplasmic Reticulum?,A. To produce ATP.,B. To synthesize proteins.,C. To digest waste.,D. To detoxify harmful substances.
Biology,What part of the plant cell helps it keep its shape?,A. Nucleus,B. Mitochondria,C. Cell Wall,D. Chloroplast
Biology,Which of the following is not a type of muscle tissue?,A. Skeletal Muscle,B. Cardiac Muscle,C. Pulmonary Muscle,D. Smooth Muscle
Biology,What is the function of the ribosome?,A. To produce ATP.,B. To synthesize proteins.,C. To detoxify harmful substances.,D. To break down waste.
Biology,Which of the following is not an example of a stimulus?,A. Light,B. Sound,C. Touch,D. Reaction 
Biology,What is the name of the pigment that gives plants their green color?,A. Chlorophyll,B. Carotene,C. Hemoglobin,D. Melanin
Biology,What does RNA stand for?,A. Ribonucleic Acid,B. Deoxyribonucleic Acid,C. Ribo Nucleotide Acid,D. Deoxy Nucleotide Acid
Chemistry,What is the atomic number of carbon?,A. 6,B. 12,C. 2,D. 8
Chemistry,What is the symbol for gold?,A. G,B. Ag,C. Au,D. Og
Chemistry,What is the symbol for hydrogen?,A. Hg,B. He,C. H,D. C
Chemistry,What is the formula for sodium chloride?,A. NaCl,B. Na2CO3,C. Na2O,D. NaSO4
Chemistry,What is the chemical symbol for lead?,A. P,B. Li,C. Pb,D. Pe
Chemistry,What is the formula for water?,A. H2SO4,B. H2O,C. HO2,D. HNO3
Chemistry,What is the atomic number of iron?,A. 25,B. 40,C. 12,D. 26
Chemistry,What is the formula for sulfur dioxide?,A. SO3,B. S2O3,C. SO2,D. H2SO4
Chemistry,What is the chemical symbol for nitrogen?,A. N,B. Ni,C. Na,D. Nb
Chemistry,What is the formula for ammonia?,A. NH4,B. NH3,C. N2H4,D. NH2
Chemistry,What is the chemical symbol for potassium?,A. P,B. K,C. Pe,D. Ki
Chemistry,What is the formula for hydrochloric acid?,A. H3PO4,B. H2SO4,C. HCl,D. HNO3
Chemistry,What is the atomic number of oxygen?,A. 7,B. 8,C. 6,D. 9
Chemistry,What is the formula for carbon dioxide?,A. CO2,B. CO,C. C2O,D. C2O2
Chemistry,What is the chemical symbol for calcium?,A. C,B. Ca,C. Co,D. Ce
Chemistry,What is the formula for nitric acid?,A. H2SO4,B. HNO3,C. H3PO4,D. HCl
Chemistry,What is the atomic number of sodium?,A. 11,B. 10,C. 12,D. 9
Chemistry,What is the formula for potassium permanganate?,A. KMnO4,B. KCl,C. KMnO3,D. K2MnO3
Physics,What is the formula for force?,A. F = ma,B. F = mv,C. F = md,D. F = mt
Physics,"What does the term ""momentum"" refer to?",A. The force required to move an object.,B. The amount of matter in an object.,C. The resistance of an object to change.,D. The product of an object's mass and velocity.
Physics,What is the formula for work?,A. W = Fd,B. W = mgh,C. W = P/V,D. W = mv
Physics,What is the formula for kinetic energy?,A. KE = mgh,B. KE = 1/2mv^2,C. KE = Fd,D. KE = pt
Physics,What is the formula for potential energy?,A. PE = mv,B. PE = 1/2mv^2,C. PE = mgh,D. PE = Fd
Physics,What is the formula for acceleration?,A. a = v/t,B. a = F/m,C. a = d/t^2,D. a = P/t
Physics,What is the formula for speed?,A. s = d/t,B. s = mt,C. s = vt,D. s = P/t 
Physics,Which of the following is not a type of energy?,A. Thermal Energy,B. Kinetic Energy,C. Mechanical Energy,D. Nuclear Energy
Physics,What is the formula for power?,A. P = mv,B. P = W/t,C. P = Fd,D. P = KE + PE
Physics,What is the formula for pressure?,A. P = F/A,B. P = mv,C. P = W/t,D. P = KE + PE
Physics,What is the formula for density?,A. D = m/v,B. D = v/m,C. D = F/v,D. D = P/A
Physics,What is the formula for torque?,A. T = Fd,B. T = mv,C. T = PT,D. T = W/t
Astronomy,What is the planet farthest from the sun in our solar system?,A. Saturn,B. Uranus,C. Neptune,D. Pluto
Astronomy,What is a meteorite?,A. A meteor that enters the Earth's atmosphere.,B. A meteor that strikes the surface of the Earth.,C. A piece of orbiting space debris.,D. A type of constellation.
Astronomy,What is the largest planet in our solar system?,A. Saturn,B. Jupiter,C. Uranus,D. Nepture
Astronomy,What is a light-year?,A. The distance traveled by light in one second.,B. The distance traveled by light in one hour.,C. The distance traveled by light in one year.,D. The distance traveled by light in one minute.
Astronomy,What is a supernova?,A. When a star runs out of fuel and collapses.,B. When two stars collide and merge.,C. When a star explodes and releases a tremendous amount of energy.,D. When a star emits a burst of radiation.
Astronomy,What is the name of the galaxy that contains the solar system?,A. Andromeda,B. Milky Way,C. Triangulum,D. Sombrero
Astronomy,At what point in Earth's orbit is the Summer Solstice reached in the Northern Hemisphere?,A. June,B. March,C. December,D. September
Astronomy,What is a comet?,A. A type of planet.,B. A type of star.,C. A type of asteroid.,D. A small icy object that orbits the sun.
Astronomy,What is the name of the closest star to Earth| other than the Sun?,A. Proxima Centauri,B. Alpha Centauri,C. Barnard's Star,D. Sirius
Astronomy,What is a black hole?,A. A region of space with a gravitational field so intense that nothing can escape.,B. A region of space with no gravitational field.,C. A region of space with a supernatural force.,D. A region of space where dark matter exists.
Astronomy,What is the name of the largest moon in our solar system?,A. Titan,B. Ganymede,C. Europa,D. Io
Astronomy,What is a star?,A. A celestial object that produces its own light.,B. A celestial object that reflects light from the Sun.,C. A celestial object that emits radiation.,D. None of the above.
