Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Carbon dioxide,Oxygen,Argon
Chemistry,What is the chemical symbol for gold?,Au,Ag,Pt,Pb
Physics,What is the SI unit of pressure?,Pascal,Newton,Joule,Watt
Biology,What is the term for the movement of molecules from an area of high concentration to an area of low concentration?,Diffusion,Osmosis,Active transport,Passive transport
Chemistry,What is the pH of a neutral substance?,7,1,14,0
Physics,What type of energy is sound energy?,Mechanical energy,Electrical energy,Thermal energy,Nuclear energy
Biology,What is the name of the process by which plants make their own food?,Photosynthesis,Respiration,Digestion,Assimilation
Chemistry,What is the process of a gas changing into a liquid called?,Condensation,Evaporation,Sublimation,Solidification
Physics,What is the name of the force that resists motion between surfaces that are in contact?,Friction,Gravity,Magnetism,Electrostatics
Biology,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosomes,Lysosomes
Chemistry,What is the chemical formula for water?,H2O,CO2,HCl,NO2
Physics,What is the name of the energy that an object possesses due to its height above the ground?,Gravitational potential energy,Kinetic energy,Thermal energy,Electrical energy
Biology,What is the name of the process by which living organisms produce offspring of their own kind?,Reproduction,Growth,Development,Adaptation
Chemistry,What is the name of the bond formed between two atoms that share electrons?,Covalent bond,Ionic bond,Hydrogen bond,Polar bond
Physics,What is the name of the force that pulls objects towards each other?,Gravity,Friction,Magnetism,Electrostatics
Biology,What is the term for the movement of water across a selectively permeable membrane?,Osmosis,Diffusion,Active transport,Passive transport
Chemistry,What is the process of a liquid changing into a gas called?,Evaporation,Condensation,Sublimation,Solidification
Physics,What is the term for the force exerted on an object due to its mass and acceleration?,Force,Momentum,Work,Kinetic energy
Biology,What is the term for the variety of different species that exist on Earth?,Biodiversity,Ecology,Ecosystem,Population
Chemistry,What is the chemical formula for carbon dioxide?,CO2,H2O,NO2,HCl
Physics,What is the name of the energy that an object possesses due to its motion?,Kinetic energy,Gravitational potential energy,Thermal energy,Electrical energy
Biology,What is the term for the study of living organisms and their interactions with each other and their environment?,Biology,Ecology,Zoology,Botany
Chemistry,What is the process of a solid changing into a gas called?,Sublimation,Evaporation,Condensation,Solidification
Physics,What is the name of the force that causes objects to float?,Buoyancy,Gravity,Friction,Magnetism
Biology,What is the term for the genetic makeup of an organism?,Genotype,Phenotype,Trait,Allele
Chemistry,What is the term for a substance made up of only one type of atom?,Element,Compound,Mixture,Molecule
Physics,What is the SI unit of work?,Joule,Pascal,Watt,Newton
Biology,What is the term for the process by which a cell divides into two identical daughter cells?,Mitosis,Meiosis,Binary fission,Fragmentation
Chemistry,What is the chemical formula for methane?,CH4,CO2,H2O,NO2
Physics,What type of lens is a magnifying glass?,Convex lens,Concave lens,Prism,Cylindrical lens
Biology,What is the term for the broadest and most inclusive category of classification?,Kingdom,Phylum,Class,Domain
Chemistry,What is the type of reaction in which a more reactive metal displaces a less reactive metal from its compound?,Displacement reaction,Acid-base reaction,Combustion reaction,Redox reaction
Physics,What is the name of the energy that an object possesses due to its position?,Potential energy,Kinetic energy,Thermal energy,Electrical energy
Biology,What is the term for the sum total of all chemical reactions that occur within an organism?,Metabolism,Homeostasis,Evolution,Adaptation
Chemistry,What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2
Physics,What is the term for the force that opposes motion due to air resistance?,Drag,Thrust,Lift,Gravity
Biology,What is the term for the process by which RNA is synthesized from DNA?,Transcription,Translation,Replication,Mutation
Chemistry,What is the process of a gas changing directly into a solid called?,Deposition,Sublimation,Evaporation,Condensation
Physics,What is the name of the law that states that every action has an equal and opposite reaction?,Newton's third law of motion,Newton's first law of motion,Newton's second law of motion,Law of conservation of momentum
Biology,What is the term for the process by which a sperm and an egg combine to form a zygote?,Fertilization,Gestation,Parturition,Implantation
Chemistry,What is the name of the substance that speeds up a chemical reaction without being consumed in the process?,Catalyst,Inhibitor,Reactant,Product
Physics,What is the name of the energy that is stored within the bonds of atoms and molecules?,Chemical energy,Kinetic energy,Thermal energy,Electrical energy
Biology,What is the term for the death of cells or tissues due to disease| injury| or lack of oxygen?,Necrosis,Apoptosis,Senescence,Autophagy
Chemistry,What is the type of reaction in which an acid and a base react with each other to produce water and a salt?,Acid-base reaction,Combustion reaction,Redox reaction,Displacement reaction
Physics,What is the name of the energy that is released when an atomic nucleus is split or two nuclei are fused together?,Nuclear energy,Kinetic energy,Thermal energy,Electrical energy
Biology,What is the term for the process by which organisms adapt to their environment over time?,Evolution,Natural selection,Speciation,Mutation
Chemistry,What is the term for a homogeneous mixture of two or more substances?,Solution,Compound,Element,Mixture
Physics,What is the name of the force that causes objects to stick to each other?,Adhesive force,Cohesive force,Frictional force,Magnetic force
