Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of the cell?,Mitochondria,Ribosomes,Nucleus,Lysosomes
Chemistry,Which gas is known as laughing gas?,Nitrous Oxide,Carbon Dioxide,Hydrogen,Oxygen
Physics,What is the unit of force?,Newton,Volt,Ampere,Ohm
Biology,Which animal has the longest lifespan?,Tortoise,Elephant,Giraffe,Horse
Chemistry,What is the chemical symbol for gold?,Au,Ag,Fe,Cu
Physics,What is the SI unit of electric current?,Ampere,Watt,Joule,Volt
Biology,What gas do plants give off during photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Argon
Chemistry,Which element has the atomic number of 1?,Hydrogen,Helium,Lithium,Beryllium
Physics,What is the speed of light?,299|792|458 meters per second,30|000 meters per second,500|000 meters per second,100|000 meters per second
Biology,What is the function of red blood cells?,Transport oxygen,Facilitate blood clotting,Fight infections,Remove waste
Chemistry,What is the pH of water?,7,1,14,0
Physics,What is the formula for velocity?,Velocity = Distance/Time,Velocity = Time/Distance,Velocity = Force x Distance,Velocity = Acceleration x Time
Biology,What is the largest organ in the human body?,Skin,Liver,Lungs,Stomach
Chemistry,Which gas is used in balloons to make them float?,Helium,Argon,Neon,Krypton
Physics,What is Newton's Third Law of Motion?,For every action| there is an equal and opposite reaction,An object in motion will stay in motion unless acted upon by an external force,Force equals mass times acceleration,Energy cannot be created or destroyed
Biology,What is the function of white blood cells?,Fight infections,Transport oxygen,Facilitate blood clotting,Remove waste
Chemistry,What is the chemical formula for water?,H2O,CO2,CH4,NO3
Physics,What is the formula for acceleration?,Acceleration = (Final Velocity - Initial Velocity) / Time,Acceleration = Distance / Time,Acceleration = Force x Mass,Acceleration = Velocity / Time
Biology,What is the smallest unit of life?,Cell,Atom,Molecule,Organ
Chemistry,What is the chemical symbol for iron?,Fe,Au,Ag,Cu
Physics,What is the formula for work?,Work = Force x Distance,Work = Mass x Velocity,Work = Power x Time,Work = Energy / Time
Biology,Which mammal cannot jump?,Elephant,Hippopotamus,Rhino,Giraffe
Chemistry,Which metal is liquid at room temperature?,Mercury,Sodium,Potassium,Zinc
Physics,What is the formula for power?,Power = Work / Time,Power = Force x Distance,Power = Energy / Time,Power = Voltage x Current
Biology,What is the largest mammal in the world?,Blue Whale,Elephant,Hippopotamus,Giraffe
Chemistry,What is the chemical symbol for lead?,Pb,Fe,Ag,Cu
Physics,What is the formula for momentum?,Momentum = Mass x Velocity,Momentum = Force x Time,Momentum = Energy / Time,Momentum = Power x Time
Biology,Which bird is known for its long neck?,Giraffe,Flamingo,Ostrich,Penguin
Chemistry,Which gas is used in fire extinguishers?,Carbon Dioxide,Nitrogen,Oxygen,Argon
Physics,What is the formula for force?,Force = Mass x Acceleration,Force = Velocity / Time,Force = Work / Time,Force = Power / Voltage
Biology,What is the function of the pancreas?,Produces insulin,Filters the blood,Pumps blood,Digests food
Chemistry,Which gas is produced when an acid is mixed with a metal?,Hydrogen,Oxygen,Nitrogen,Carbon Dioxide
Physics,What is the formula for pressure?,Pressure = Force / Area,Pressure = Volume / Time,Pressure = Mass x Acceleration,Pressure = Temperature x Volume
Biology,What is the smallest bone in the human body?,Stapes,Clavicle,Femur,Lumbar Vertebrae
Chemistry,What is the chemical symbol for sodium?,Na,K,Ca,Mg
Physics,What is the formula for voltage?,Voltage = Current x Resistance,Voltage = Power / Current,Voltage = Energy / Charge,Voltage = Force x Distance
Biology,What is the largest organ inside the human body?,Liver,Lungs,Stomach,Brain
Chemistry,Which gas is known as tear gas?,Chlorine,Ammonia,Toluene,CS gas
Physics,What is the formula for resistance?,Resistance = Voltage / Current,Resistance = Power / Voltage,Resistance = Energy / Charge,Resistance = Force / Distance
Biology,Which animal has three hearts?,Octopus,Spider,Fish,Worm
Chemistry,What is the chemical symbol for oxygen?,O,N,C,H
Physics,What is the formula for electric charge?,Electric Charge = Current x Time,Electric Charge = Voltage x Current,Electric Charge = Power / Voltage,Electric Charge = Energy / Voltage
Biology,What is the function of the liver?,Produces bile,Filters the blood,Pumps blood,Digests food
Chemistry,Which gas is used in light bulbs?,Argon,Helium,Neon,Krypton
Physics,What is the formula for electric power?,Electric Power = Voltage x Current,Electric Power = Work / Time,Electric Power = Energy / Time,Electric Power = Force x Distance
Biology,What is the largest animal in the world?,Blue Whale,Elephant,Hippopotamus,Giraffe
Chemistry,What is the chemical symbol for carbon?,C,O,N,H
Physics,What is the formula for electric energy?,Electric Energy = Voltage x Charge,Electric Energy = Power x Time,Electric Energy = Work / Voltage,Electric Energy = Momentum / Time
