Index,Question,Answer,Distractor1,Distractor2,Distractor3,Correctness,Difficulty,Clarity,Distractor Relevance
6839,What is caused by bodies sliding over rough surfaces?,friction,heat loss,tension,vibration,7,6,5,7
5239,What are two ways cnidarians are able to reproduce?,asexually and sexually,mitosis and meiosis,spawning and sexual,internally and externally,7,6,5,7
1046,Which muscular organ pumps blood all around your body?,heart,stomach,lungs,pancreas,7,6,5,7
8781,"Plant viruses can seriously disrupt crop growth and development, significantly affecting our what?",food supply,air supply,fuel supply,harvest supply,7,6,5,7
6421,"The paranasal sinuses are hollow, air-filled spaces located within certain bones of the skull. all of the sinuses communicate with the nasal cavity (paranasal = “next to nasal cavity”) and are lined with this?",nasal mucosa,respiration mucosa,oral mucosa,fluid mucosa,7,6,5,7
9552,What is the most commonly used source of energy in the world?,oil,electricity,wind,water,7,6,5,7
183,What is made in the liver and excreted in urine?,urea,feces,plasma,blood,7,6,5,7
8247,Metals are elements that can conduct what?,electricity,cycle,orchestras,pollution,7,6,5,7
5827,What are the four well-known states of matter?,"solid, liquid, gas, and plasma","solid, liquid, gas, and wave","solid, liquid, plasma, and metal","solid , imine , gas , and plasma",7,6,5,7
944,"In a position-time graph, what does the slope of the line represent?",velocity,position,time,direction,7,6,5,7
2983,What term is used to describe the sequence of elementary steps that together comprise an entire chemical reaction?,reaction mechanism,source mechanism,elemental mechanism,potassium mechanism,7,6,5,7
6586,"The earliest cells were prokaryotes, surrounded by a cell membrane but lacking which key structure?",nucleus,mitochondria,ribosomes,lysosomes,7,6,5,7
9227,What are resources that don't run out?,renewable resources,residual resources,general resources,orbital resources,7,6,5,7
9724,What term is used to describe a simple diagram that shows one way energy flows through an ecosystem?,food chain,water cycle,food pyramid,fuel chain,7,6,5,7
2986,"Furthermore, most of the proteins within membranes have both hydrophobic and which other regions?",hydrophilic,atmospheric,lymphatic,cytosolic,7,6,5,7
190,What is the process by which water moves through semi-permeable membranes from one part of the body to another?,osmosis,diffusion,electrolysis,mitosis,7,6,5,7
9298,Cardiomyocytes are striated muscle cells found where?,in cardiac tissue,in the diaphram,in lung tissue,in the intestines,7,6,5,7
10412,What cells carry oxygen?,red blood cells,marrow cells,white blood cells,lymph cells,7,6,5,7
10679,"If two chlorine atoms share their unpaired electrons by making a covalent bond and forming cl2, they can each complete their what?",valence shell,hypothesized shell,radiative shell,electron shell,7,6,5,7
60,What type of bonds are formed by the side-to-side overlap of p orbitals?,pi bonds,sigma bonds,omega bonds,theta bonds,7,6,5,7
6269,Scientists think the solar system formed from a big cloud of gas and dust called what?,nebula,comet,supernova,Oort cloud,7,6,5,7
4927,In which organ of the body does gluconeogenesis primarily take place?,liver,kidney,spleen,heart,7,6,5,7
11016,"Tendon, cartilage, and bone are examples of what type of tissue that supports and binds other tissues of the body?",connective tissue,muscular tissue,untreated tissue,repetitive tissue,7,6,5,7
1091,"What type of galaxies have a rotating disk of stars and dust, a bulge in the middle, and several arms?",spiral galaxies,pinwheel galaxies,round galaxies,spherical galaxies,7,6,5,7
6276,"All animals have specialized types of what basic structures, which can then do different jobs?",cells,proteins,muscles,atoms,7,6,5,7
10466,Pharmacist and surveyor are two career options based in what type of science?,physical,obvious,Business,visible,7,6,5,7
9192,What type of chemicals do ants communicate with?,pheromones,Alkanes,pesticides,hormones,7,6,5,7
3059,"Some fish will be over-fished to the point that their species ceases to exist, which is also known as what?",extinction,endangered,accumulation,abundance,7,6,5,7
3262,What makes breathing difficult due to respiratory system disease?,narrow air passages,weak lungs,slippery air passages,water in the lungs,7,6,5,7
574,How many ways are there for a species to go extinct?,two,four,eight,Ten,7,6,5,7
4721,Glucocorticoids and mineralocorticoids are the two main types of what in humans?,corticosteroids,carotenoids,metabolites,hormones,7,6,5,7
8964,What term did schrödinger use for regions around the nucleus where electrons are most likely to be?,orbitals,arrays,isotopes,ellipses,7,6,5,7
4732,"What kind of a resource is soil, for human purposes?",nonrenewable resource,renewable resource,guarana resource,emanates resource,7,6,5,7
7449,What is the cloud of  brown dust-like power that escapes when a puffball fungus is touched?,spores,ions,seeds,pollon,7,6,5,7
3477,How do oceans help control global warming?,absorbing carbon dioxide,releasing oxygen,reflecting light,Cooling air,7,6,5,7
8841,Fish hatch into larvae that are different from the adult form of?,species,sex,parasites,color,7,6,5,7
6105,Hydrophobic interactions arise because water molecules engage in what type of bonding with other water molecules?,hydrogen bonding,aquatic bonding,oxygen bonding,helium bonding,7,6,5,7
3307,What keeps earth in orbit around the sun?,gravity,energy,motion,momentum,7,6,5,7
6803,What is the diversity of living things called?,biodiversity,habitat,adaptation,ecosystem,7,6,5,7
8139,"What is the layman's term for mammals raising their hair with tiny muscles in the skin, something that is automatic in humans sensing cold?",goosebumps,spine tingling,follicles,hypothermia,7,6,5,7
8460,How many main types of diabetes are there?,two,three,one,six,7,6,5,7
925,"What absorbs, scatters, or reflects most incoming solar radiation in the atmosphere?",clouds and dust,clouds and sand,ice and dust,coulds and minerals,7,6,5,7
320,"In the chest, the trachea divides as it enters the lungs to form the right and left what?",bronchi,alveoli,ventricle,atrium,7,6,5,7
5347,The number of electrons in the outer energy level determines what property of nonmetals?,reactivity,density,permeability,vibration,7,6,5,7
11030,Scientists explain the world based on what?,observations,changes,patterns,theories,7,6,5,7
8869,Which factor causes a cannon ball to move horizontally and then fall on the ground?,projectile motion,cone motion,fluid motion,downward motion,7,6,5,7
921,What do we call the visible part of the electromagnetic spectrum?,light,weight,radio,electricity,7,6,5,7
9053,Organisms that live in freshwater environments often possess a contractile vacuole that prevents cells from taking in too much water through what process?,osmosis,electrolysis,glycolysis,hemostasis,7,6,5,7
643,The chains in cellulose stack in parallel rows held together by hydrogen bonds between which groups?,hydroxl groups,disc groups,carbon groups,soda groups,7,6,5,7
11004,The most powerful or influential individual in a group is sometimes called what?,dominant,superior,gamma,beta,7,6,5,7
10468,The mechanical advantage of a machine is related to how it changes what?,force,pressure,nature,example,7,6,5,7
144,Energy contents of foods are often expressed in what?,calories,pulses,grams,nutrients,7,6,5,7
848,Types of radiation that cause cancer include ultraviolet (uv) radiation and what?,radon,thermal,molecular,vibrational,7,6,5,7
