Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Biology,What is the powerhouse of a cell?,Mitochondria,Golgi Apparatus,Lysosome,Endoplasmic Reticulum
Chemistry,What is the symbol for Sodium?,Na,So,Nt,Nr
Physics,What is the formula for velocity?,Velocity = Distance/Time,Velocity = Time/Distance,Velocity = Distance × Time,Velocity = Time − Distance
Biology,Which part of the human body stores bile?,Gallbladder,Liver,Pancreas,Small Intestine
Chemistry,What two elements make up water?,Hydrogen and Oxygen,Hydrogen and Nitrogen,Carbon and Oxygen,Iron and Carbon
Physics,What is Newton's Second Law?,F=ma,a=F/m,m=F/a,F=x/m
Biology,What gas is essential for photosynthesis?,Carbon Dioxide,Oxygen,Methane,Nitrogen
Chemistry,What is the formula for Hydrochloric acid?,HCl,HNO3,H2SO4,HF
Physics,What is the equation for work?,Work = Force × Distance,Work = Distance/Force,Work = Force − Distance,Work = Distance + Force
Biology,What is the largest organ in the human body?,Skin,Liver,Lungs,Brain
Chemistry,What is the symbol for Iron?,Fe,If,Io,Ni
Physics,What is the difference between speed and velocity?,Velocity takes direction into account while speed does not.,Velocity is faster than speed.,Speed takes direction into account while velocity does not.,Speed and velocity are the same thing.
Biology,Where is insulin produced?,Pancreas,Liver,Stomach,Small Intestine
Chemistry,What is the symbol for Carbon?,C,Ca,Cd,Cr
Physics,What is the formula for acceleration?,Acceleration = (Final Velocity - Initial Velocity) / Time,Acceleration = (Final Velocity + Initial Velocity) * Time,Acceleration = (Final Velocity + Initial Velocity) / Time,Acceleration = (Final Velocity - Initial Velocity) * Time
Biology,What is the largest white blood cell?,Monocyte,Lymphocyte,Neutrophil,Eosinophil
Chemistry,What is the symbol for Helium?,He,Hh,Hm,Hf 
Physics,What is the formula for force?,Force = Mass × Acceleration,Force = Mass / Acceleration,Force = Acceleration × Distance,Force = Distance / Mass
Biology,What type of meat comes from pigs?,Pork,Beef,Chicken,Lamb
Chemistry,What is the symbol for Gold?,Au,Ag,Al,At
Physics,What is the formula for momentum?,Momentum = Mass × Velocity,Momentum = Mass / Velocity,Momentum = Velocity × Force,Momentum = Force / Mass
Biology,What system controls the body's fight or flight response?,Sympathetic Nervous System,Parasympathetic Nervous System,Enteric Nervous System,Central Nervous System
Chemistry,What is the symbol for Silver?,Ag,Au,Al,As
Physics,What is the formula for power?,Power = Work / Time,Power = Time / Work,Power = Work × Time,Power = Work − Time
Biology,What is a group of wolves called?,A pack,A herd,A swarm,A flock
Chemistry,What is the formula for Ammonia?,NH3,NO2,SO2,N2O
Physics,What is the formula for density?,Density = Mass / Volume,Density = Volume / Mass,Density = Mass + Volume,Density = Volume - Mass
Biology,What is the substance that gives skin and hair its pigment?,Melanin,Keratin,Collagen,Elastin
Chemistry,What is the symbol for Calcium?,Ca,C,Cb,Cc
Physics,What is Newton's Third Law?,For every action| there is an equal and opposite reaction.,The force applied equals the mass times the acceleration.,An object in motion will stay in motion unless acted upon by a force.,Acceleration is directly proportional to the net force acting on an object and inversely proportional to its mass.
Biology,What is the hardest substance in the body?,Tooth Enamel,Bone,Cartilage,Sclera
Chemistry,What is the symbol for Lead?,Pb,Ld,Pd,Pl
Physics,What is the formula for potential energy?,Potential Energy = Mass × Gravitational Field Strength × Height,Potential Energy = Mass / Gravitational Field Strength × Height,Potential Energy = Mass + Gravitational Field Strength + Height,Potential Energy = Mass − Gravitational Field Strength − Height
Biology,What is the name of the circulating fluid in the human body?,Blood,Lymph,Saliva,Gastric Juice
Chemistry,What is the formula for Sulfuric acid?,H2SO4,HCl,HNO3,H2SO3
Physics,What is the formula for kinetic energy?,Kinetic Energy = 1/2 × Mass × Velocity²,Kinetic Energy = Mass / Velocity²,Kinetic Energy = Mass × Velocity²,Kinetic Energy = Mass − Velocity²
Biology,What is the technical name for the windpipe?,Trachea,Bronchus,Alveoli,Larynx
Chemistry,What is the symbol for Nitrogen?,N,Na,Ni,No
Physics,What is the formula for impulse?,Impulse = Force × Time,Impulse = Time / Force,Impulse = Force / Time,Impulse = Time × Force
Biology,What is the function of the cerebellum?,Balance and coordination,Emotion and memory,Language and speech,Hearing and vision
Chemistry,What is the symbol for Oxygen?,O,Ob,Op,Ol
Physics,What is the formula for potential difference?,Potential Difference = Current × Resistance,Potential Difference = Resistance / Current,Potential Difference = Current − Resistance,Potential Difference = Resistance − Current
Biology,What is the largest animal on Earth?,Blue Whale,Elephant,Giraffe,Hippopotamus
Chemistry,What is the formula for Methane?,CH4,CO2,C2H5OH,H2O
Physics,What is the formula for electric power?,Electric Power = Current × Voltage,Electric Power = Voltage / Current,Electric Power = Current / Voltage,Electric Power = Voltage − Current
Biology,What type of connective tissue connects muscle to bone?,Tendon,Ligament,Cartilage,Adipose Tissue
Chemistry,What is the symbol for Potassium?,K,P,Po,Pu
Physics,What is the formula for resistance?,Resistance = Voltage / Current,Resistance = Current / Voltage,Resistance = Voltage − Current,Resistance = Current − Voltage
Biology,What is the primary function of the lungs?,To absorb oxygen and remove carbon dioxide,To filter the blood,To produce bile,To secrete insulin
Chemistry,What is the symbol for Mercury?,Hg,He,Hf,Ho
Physics,What is the formula for electric current?,Electric Current = Charge / Time,Electric Current = Time / Charge,Electric Current = Charge × Time,Electric Current = Charge − Time
Biology,What is the substance found in red blood cells that carries oxygen?,Hemoglobin,Myoglobin,Keratin,Collagen
Chemistry,What is the formula for the hydroxide ion?,OH⁻,H⁺,NO2⁻,SO4²⁻
Physics,What is the formula for electric charge?,Electric Charge = Current × Time,Electric Charge = Time / Current,Electric Charge = Current / Time,Electric Charge = Time − Current
