Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Astronomy,What is the closest planet to the sun?,Mercury,Mars,Venus,Saturn
Biology,What is the process by which plants convert light energy to chemical energy?,Photosynthesis,Cellular Respiration,Glycolysis,Fermentation
Chemistry,What is the chemical symbol for oxygen?,O,C,N,H
Physics,What is the formula for acceleration?,a = (vf - vi) / t,v = d / t,F = ma,P = F / A
Geology,What type of rock is formed by the cooling of magma or lava?,Igneous,Sedimentary,Metamorphic,Granite
Astronomy,What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Uranus
Biology,What is the process of cell division in eukaryotic cells?,Mitosis,Meiosis,Fission,Fragmentation
Chemistry,Which element is the most abundant in the Earth's atmosphere?,Nitrogen,Oxygen,Carbon,Hydrogen
Physics,What is the SI unit for energy?,Joule,Newton,Meter,Kilogram
Geology,What type of rock is formed from the accumulation of sediment?,Sedimentary,Igneous,Metamorphic,Limestone
Astronomy,What is the name of the first man-made satellite to orbit Earth?,Sputnik,Apollo,Vostok,Gemini
Biology,What is the structure in plant cells that enables photosynthesis?,Chloroplasts,Mitochondria,Ribosomes,Nucleus
Chemistry,What is the pH of a neutral solution?,7,14,1,0
Physics,What property of matter determines how much force is needed to accelerate it?,Mass,Volume,Density,Weight
Geology,What type of rock is formed by heat and pressure?,Metamorphic,Igneous,Sedimentary,Marble
Astronomy,What is the name of the star closest to Earth?,Proxima Centauri,Alpha Centauri A,Alpha Centauri B,Sirius
Biology,What is the process by which cells break down glucose to release energy?,Cellular Respiration,Photosynthesis,Glycolysis,Fermentation
Chemistry,What is the name of the process by which a gas turns into a liquid?,Condensation,Evaporation,Sublimation,Deposition
Physics,What is the formula for force?,F = ma,F = d/t,F = P/A,F = W/g
Geology,What type of rock is formed by the alteration of existing rock?,Metamorphic,Igneous,Sedimentary,Sandstone
Astronomy,What is the name of the red planet in our solar system?,Mars,Venus,Mercury,Jupiter
Biology,What is the largest organ in the human body?,Skin,Liver,Heart,Lungs
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,O2
Physics,What is the formula for work?,W = Fd,W = F/m,W = Pt,W = J/s
Geology,What type of rock is formed by the cooling and hardening of lava or magma on the Earth's surface?,Extrusive Igneous,Intrusive Igneous,Sedimentary,Metamorphic
Astronomy,What is the name of the fifth planet from the sun?,Jupiter,Mars,Venus,Saturn
Biology,What type of tissue makes up the majority of the brain?,Nervous,Muscle,Epithelial,Connective
Chemistry,What is the smallest unit of an element that still retains its properties?,Atom,Molecule,Compound,Ion
Physics,What is the formula for power?,P = W/t,P = Fd/t,P = Fv,P = mgh
Geology,What type of rock is formed by the accumulation and consolidation of plant or animal remains?,Organic Sedimentary,Inorganic Sedimentary,Metamorphic,Limestone
Astronomy,What is the name of the second planet from the sun?,Venus,Mercury,Mars,Jupiter
Biology,What is the powerhouse of the cell?,Mitochondria,Chloroplasts,Ribosomes,Nucleus
Chemistry,What is the name of the process by which atoms ionize when they gain or lose electrons?,Ionization,Electron Affinity,Electronegativity,Ionization Energy
Physics,What is the formula for pressure?,P = F/A,P = W/t,P = mv,P = Fd
Geology,What type of rock is formed by the alteration of existing rock?,Metamorphic,Igneous,Sedimentary,Sandstone
Astronomy,What is the name of the largest moon in our solar system?,Ganymede,Titan,Callisto,Io
Biology,What is the process by which DNA is replicated?,DNA Replication,Transcription,Translation,Reverse Transcription
Chemistry,What is the name of the process by which atoms combine to form new substances?,Chemical Reaction,Ionization,Electron Transport,Activation Energy
Physics,What is the formula for density?,D = m/V,D = F/A,D = Pt,D = W/g
Geology,What type of rock is formed by the alteration of existing rock?,Metamorphic,Igneous,Sedimentary,Sandstone
Astronomy,What is the name of the fourth planet from the sun?,Mars,Venus,Mercury,Jupiter
Biology,What is the science of classifying and naming organisms?,Taxonomy,Biology,Ecology,Genetics
Chemistry,What is the name of the process by which a liquid turns into a gas?,Evaporation,Condensation,Sublimation,Deposition
Physics,What is the formula for velocity?,v = d/t,v = a/t,v = F/m,v = mgh
Geology,What type of rock is formed from the solidification of magma or lava beneath the Earth's surface?,Intrusive Igneous,Extrusive Igneous,Sedimentary,Metamorphic
