Topic,Question,Answer,Distractor1,Distractor2,Distractor3
Astronomy,What is the largest planet in our solar system?,Jupiter,Venus,Saturn,Mars
Biology,Which of the following is not a type of muscle tissue?,Epithelial,Cardiac,Smooth,Skeletal
Chemistry,What is the chemical symbol for sodium?,Na,K,Mg,Fe
Physics,What is the SI unit of measurement for energy?,Joule,Newton,Meter,Pascal
Astronomy,What is the name of the largest moon of Neptune?,Triton,Europa,Callisto,Ganymede
Biology,What is the process by which plants convert light into chemical energy?,Photosynthesis,Respiration,Digestion,Circulation
Chemistry,What is the process by which a solid changes directly into a gas?,Sublimation,Evaporation,Condensation,Melting
Physics,What is Newton's first law of motion?,An object at rest will remain at rest unless acted upon by an external force.,The force acting on an object is equal to its mass times its acceleration.,For every action| there is an equal and opposite reaction.,An object in motion will remain in motion unless acted upon by an external force.
Astronomy,What is the name of the largest volcano on Mars?,Olympus Mons,Mount Everest,Mount Kilimanjaro,Mount Rainier
Biology,What is the process by which the body eliminates waste products?,Excretion,Ingestion,Respiration,Circulation
Chemistry,What is the chemical formula for water?,H2O,CO2,NaCl,HCl
Physics,What type of energy is stored as a result of an object's position or height?,Potential energy,Kinetic energy,Thermal energy,Sound energy
Astronomy,What is a meteor?,A piece of rock or debris that enters Earth's atmosphere.,A planet in our solar system.,A type of star that is no longer active.,A moon orbiting a planet.
Biology,Which part of the cell is responsible for synthesizing proteins?,Ribosomes,Mitochondria,Nucleus,Chloroplasts
Chemistry,What is the process by which a gas changes directly into a solid?,Deposition,Evaporation,Sublimation,Condensation
Physics,What is the acceleration due to gravity on Earth's surface?,9.8 m/s^2,1 m/s^2,0.1 m/s^2,100 m/s^2
Astronomy,What is the name of the closest star to our solar system?,Proxima Centauri,Alpha Centauri,Betelgeuse,Sirius
Biology,Which type of cell does not have a nucleus?,Prokaryotic,Eukaryotic,Animal,Plant
Chemistry,"What element has the symbol ""Fe""?",Iron,Gold,Silver,Mercury
Physics,What is the formula for finding the speed of an object?,Speed = distance/time,Speed = mass x acceleration,Speed = force/distance,Speed = energy/time
Astronomy,What is the name of the force that causes a planet to orbit a star?,Gravity,Friction,Magnetism,Electromagnetism
Biology,Which of the following is not one of the four main types of tissue in the human body?,Lung tissue,Muscle tissue,Nervous tissue,Epithelial tissue
Chemistry,What is the process by which a liquid changes to a gas?,Evaporation,Condensation,Sublimation,Deposition
Physics,What type of energy is associated with the motion of particles?,Thermal energy,Kinetic energy,Potential energy,Sound energy
Astronomy,What is the name of NASA's most famous space telescope?,Hubble,Kepler,Galileo,Newton
Biology,What is the smallest unit of life?,Cell,Molecule,Organelle,Tissue
Chemistry,What is the process by which a gas changes to a liquid?,Condensation,Evaporation,Sublimation,Deposition
Physics,What is the law of conservation of energy?,Energy cannot be created or destroyed| only transferred or transformed.,The force acting on an object is equal to its mass times its acceleration.,For every action| there is an equal and opposite reaction.,An object at rest will remain at rest unless acted upon by an external force.
Astronomy,What is the name of the asteroid belt located between Mars and Jupiter?,The Main Asteroid Belt,The Kuiper Belt,The Oort Cloud,The Scattered Disk
Biology,Which of the following is not an example of a vertebrate?,Butterfly,Fish,Bird,Mammal
Chemistry,What is the process by which a solid changes to a liquid?,Melting,Freezing,Sublimation,Deposition
Physics,What is the formula for calculating work?,Work = force x distance,Work = mass x acceleration,Work = force/velocity,Work = energy/time
Astronomy,What is the name of the closest galaxy to our Milky Way?,Andromeda,Triangulum,Canis Major Dwarf,Small Magellanic Cloud
Biology,Which of the following is not one of the four macromolecules of life?,Water,Carbohydrates,Lipids,Proteins
Chemistry,"What element has the symbol ""Au""?",Gold,Iron,Silver,Mercury
Physics,What is the formula for calculating power?,Power = work/time,Power = mass x velocity,Power = energy/distance,Power = force/time
Astronomy,What is the name of the force that causes the tides on Earth?,Gravity,Friction,Magnetism,Electromagnetism
Biology,Which of the following is not a type of blood cell?,Nerve cell,Red blood cell,White blood cell,Platelet
Chemistry,What is the process by which a liquid changes to a solid?,Freezing,Melting,Condensation,Evaporation
Physics,What is the principle of superposition?,When two waves meet| the displacement at any point is the algebraic sum of the displacements of the two waves at that point.,The ratio of the sine function and the cosine function is a constant for all angles in a right triangle.,The resistance of a conductor is directly proportional to its length and inversely proportional to its cross-sectional area.,The force acting on an object is equal to its mass times its acceleration.
Astronomy,What is the name of the largest constellation in the night sky?,Hydra,Ursa Major,Orion,Virgo
Biology,What is the process by which organisms produce offspring?,Reproduction,Respiration,Digestion,Circulation
Chemistry,What is the process by which a gas changes to a solid?,Deposition,Evaporation,Sublimation,Condensation
Physics,What is the formula for finding the force acting on an object?,Force = mass x acceleration,Force = distance/time,Force = energy/time,Force = power/distance
Astronomy,What is the name of the brightest star in the night sky?,Sirius,Betelgeuse,Vega,Arcturus
Biology,Which of the following is not part of the digestive system?,Kidney,Stomach,Intestines,Mouth
Chemistry,What is the process by which a solid changes to a gas without passing through the liquid state?,Sublimation,Evaporation,Condensation,Deposition
Physics,What is the formula for finding the gravitational force between two objects?,F = G*(m1*m2)/r^2,F = m*a,F = p*v,F = k*Q1*Q2/r^2
Astronomy,What is the name of the largest star in the Milky Way galaxy?,UY Scuti,Betelgeuse,Rigel,Antares
Biology,Which of the following is not a type of tissue in the human body?,Bone tissue,Muscle tissue,Epithelial tissue,Nerve tissue
Chemistry,What is the process by which a liquid changes to a gas at its boiling point?,Boiling,Evaporation,Sublimation,Condensation
Physics,What is the formula for calculating pressure?,Pressure = force/area,Pressure = energy/time,Pressure = mass x velocity,Pressure = work/distance
Astronomy,What is the name of the phenomenon where light is bent by gravity?,Gravitational lensing,Diffraction,Reflection,Refraction
Biology,What is the process by which oxygen and carbon dioxide are exchanged in the lungs?,Gas exchange,Transport,Digestion,Absorption
Chemistry,What is the process by which a gas changes to a liquid at its boiling point?,Condensation,Evaporation,Sublimation,Deposition
Physics,What is the formula for calculating electrical power?,Power = voltage x current,Power = resistance x voltage,Power = current x resistance,Power = magnetism x distance
Astronomy,What is the name of the brightest planet in our solar system?,Venus,Jupiter,Mercury,Mars
